"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",2003,"ALABAMA","Metropolitan Statistical Area",3179196,0.952,"Area actually reporting","violent_crime",14871
"2",2003,"ALABAMA","Metropolitan Statistical Area",3179196,1,"Estimated total","violent_crime",15364
"3",2003,"ALABAMA","Cities outside metropolitan areas",557794,0.929,"Area actually reporting","violent_crime",2698
"4",2003,"ALABAMA","Cities outside metropolitan areas",557794,1,"Estimated total","violent_crime",2881
"5",2003,"ALABAMA","Nonmetropolitan counties",763762,0.797,"Area actually reporting","violent_crime",866
"6",2003,"ALABAMA","Nonmetropolitan counties",763762,1,"Estimated total","violent_crime",1086
"7",2003,"ALABAMA","State Total",4500752,99,"total","violent_crime",19331
"8",2003,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",429.5
"9",2003,"ALASKA","Metropolitan Statistical Area",315592,1,"Area actually reporting","violent_crime",2222
"10",2003,"ALASKA","Cities outside metropolitan areas",122843,0.934,"Area actually reporting","violent_crime",689
"11",2003,"ALASKA","Cities outside metropolitan areas",122843,1,"Estimated total","violent_crime",738
"12",2003,"ALASKA","Nonmetropolitan counties",210383,1,"Area actually reporting","violent_crime",890
"13",2003,"ALASKA","State Total",648818,99,"total","violent_crime",3850
"14",2003,"ALASKA","State Total",1e+05,99,"rate","violent_crime",593.4
"15",2003,"ARIZONA","Metropolitan Statistical Area",4958626,0.984,"Area actually reporting","violent_crime",25898
"16",2003,"ARIZONA","Metropolitan Statistical Area",4958626,1,"Estimated total","violent_crime",26208
"17",2003,"ARIZONA","Cities outside metropolitan areas",302704,0.988,"Area actually reporting","violent_crime",1177
"18",2003,"ARIZONA","Cities outside metropolitan areas",302704,1,"Estimated total","violent_crime",1192
"19",2003,"ARIZONA","Nonmetropolitan counties",319481,1,"Area actually reporting","violent_crime",1238
"20",2003,"ARIZONA","State Total",5580811,99,"total","violent_crime",28638
"21",2003,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",513.2
"22",2003,"ARKANSAS","Metropolitan Statistical Area",1566369,0.928,"Area actually reporting","violent_crime",8199
"23",2003,"ARKANSAS","Metropolitan Statistical Area",1566369,1,"Estimated total","violent_crime",8486
"24",2003,"ARKANSAS","Cities outside metropolitan areas",456839,0.861,"Area actually reporting","violent_crime",2429
"25",2003,"ARKANSAS","Cities outside metropolitan areas",456839,1,"Estimated total","violent_crime",2822
"26",2003,"ARKANSAS","Nonmetropolitan counties",702506,0.796,"Area actually reporting","violent_crime",894
"27",2003,"ARKANSAS","Nonmetropolitan counties",702506,1,"Estimated total","violent_crime",1123
"28",2003,"ARKANSAS","State Total",2725714,99,"total","violent_crime",12431
"29",2003,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",456.1
"30",2003,"CALIFORNIA","Metropolitan Statistical Area",34663398,1,"Area actually reporting","violent_crime",202433
"31",2003,"CALIFORNIA","Cities outside metropolitan areas",263004,1,"Area actually reporting","violent_crime",1397
"32",2003,"CALIFORNIA","Nonmetropolitan counties",558051,1,"Area actually reporting","violent_crime",1721
"33",2003,"CALIFORNIA","State Total",35484453,99,"total","violent_crime",205551
"34",2003,"CALIFORNIA","State Total",1e+05,99,"rate","violent_crime",579.3
"35",2003,"COLORADO","Metropolitan Statistical Area",3900941,0.954,"Area actually reporting","violent_crime",13767
"36",2003,"COLORADO","Metropolitan Statistical Area",3900941,1,"Estimated total","violent_crime",14276
"37",2003,"COLORADO","Cities outside metropolitan areas",295314,0.874,"Area actually reporting","violent_crime",863
"38",2003,"COLORADO","Cities outside metropolitan areas",295314,1,"Estimated total","violent_crime",986
"39",2003,"COLORADO","Nonmetropolitan counties",354433,0.945,"Area actually reporting","violent_crime",420
"40",2003,"COLORADO","Nonmetropolitan counties",354433,1,"Estimated total","violent_crime",444
"41",2003,"COLORADO","State Total",4550688,99,"total","violent_crime",15706
"42",2003,"COLORADO","State Total",1e+05,99,"rate","violent_crime",345.1
"43",2003,"CONNECTICUT","Metropolitan Statistical Area",2813777,1,"Area actually reporting","violent_crime",9359
"44",2003,"CONNECTICUT","Cities outside metropolitan areas",157399,1,"Area actually reporting","violent_crime",300
"45",2003,"CONNECTICUT","Nonmetropolitan counties",512196,1,"Area actually reporting","violent_crime",1077
"46",2003,"CONNECTICUT","State Total",3483372,99,"total","violent_crime",10736
