"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",2002,"ALABAMA","Metropolitan Statistical Area",3136510,0.932,"Area actually reporting","violent_crime",14368
"2",2002,"ALABAMA","Metropolitan Statistical Area",3136510,1,"Estimated total","violent_crime",15126
"3",2002,"ALABAMA","Cities outside metropolitan areas",539598,0.822,"Area actually reporting","violent_crime",2469
"4",2002,"ALABAMA","Cities outside metropolitan areas",539598,1,"Estimated total","violent_crime",3003
"5",2002,"ALABAMA","Rural",810400,0.736,"Area actually reporting","violent_crime",1327
"6",2002,"ALABAMA","Rural",810400,1,"Estimated total","violent_crime",1802
"7",2002,"ALABAMA","State Total",4486508,99,"total","violent_crime",19931
"8",2002,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",444.2
"9",2002,"ALASKA","Metropolitan Statistical Area",267280,1,"Area actually reporting","violent_crime",1721
"10",2002,"ALASKA","Cities outside metropolitan areas",167350,0.95,"Area actually reporting","violent_crime",1122
"11",2002,"ALASKA","Cities outside metropolitan areas",167350,1,"Estimated total","violent_crime",1180
"12",2002,"ALASKA","Rural",209156,1,"Area actually reporting","violent_crime",726
"13",2002,"ALASKA","State Total",643786,99,"total","violent_crime",3627
"14",2002,"ALASKA","State Total",1e+05,99,"rate","violent_crime",563.4
"15",2002,"ARIZONA","Metropolitan Statistical Area",4814487,0.983,"Area actually reporting","violent_crime",27408
"16",2002,"ARIZONA","Metropolitan Statistical Area",4814487,1,"Estimated total","violent_crime",27729
"17",2002,"ARIZONA","Cities outside metropolitan areas",305238,0.988,"Area actually reporting","violent_crime",1146
"18",2002,"ARIZONA","Cities outside metropolitan areas",305238,1,"Estimated total","violent_crime",1160
"19",2002,"ARIZONA","Rural",336728,1,"Area actually reporting","violent_crime",1282
"20",2002,"ARIZONA","State Total",5456453,99,"total","violent_crime",30171
"21",2002,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",552.9
"22",2002,"ARKANSAS","Metropolitan Statistical Area",1339146,1,"Area actually reporting","violent_crime",7326
"23",2002,"ARKANSAS","Cities outside metropolitan areas",509713,0.984,"Area actually reporting","violent_crime",2878
"24",2002,"ARKANSAS","Cities outside metropolitan areas",509713,1,"Estimated total","violent_crime",2924
"25",2002,"ARKANSAS","Rural",861220,0.971,"Area actually reporting","violent_crime",1215
"26",2002,"ARKANSAS","Rural",861220,1,"Estimated total","violent_crime",1251
"27",2002,"ARKANSAS","State Total",2710079,99,"total","violent_crime",11501
"28",2002,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",424.4
"29",2002,"CALIFORNIA","Metropolitan Statistical Area",33953585,1,"Area actually reporting","violent_crime",204139
"30",2002,"CALIFORNIA","Cities outside metropolitan areas",501198,1,"Area actually reporting","violent_crime",2323
"31",2002,"CALIFORNIA","Rural",661250,1,"Area actually reporting","violent_crime",1926
"32",2002,"CALIFORNIA","State Total",35116033,99,"total","violent_crime",208388
"33",2002,"CALIFORNIA","State Total",1e+05,99,"rate","violent_crime",593.4
"34",2002,"COLORADO","Metropolitan Statistical Area",3779831,0.956,"Area actually reporting","violent_crime",13589
"35",2002,"COLORADO","Metropolitan Statistical Area",3779831,1,"Estimated total","violent_crime",14220
"36",2002,"COLORADO","Cities outside metropolitan areas",313320,0.866,"Area actually reporting","violent_crime",992
"37",2002,"COLORADO","Cities outside metropolitan areas",313320,1,"Estimated total","violent_crime",1146
"38",2002,"COLORADO","Rural",413391,0.879,"Area actually reporting","violent_crime",449
"39",2002,"COLORADO","Rural",413391,1,"Estimated total","violent_crime",516
"40",2002,"COLORADO","State Total",4506542,99,"total","violent_crime",15882
"41",2002,"COLORADO","State Total",1e+05,99,"rate","violent_crime",352.4
"42",2002,"CONNECTICUT","Metropolitan Statistical Area",2897041,1,"Area actually reporting","violent_crime",9455
"43",2002,"CONNECTICUT","Cities outside metropolitan areas",60995,1,"Area actually reporting","violent_crime",235
"44",2002,"CONNECTICUT","Rural",502467,1,"Area actually reporting","violent_crime",1077
"45",2002,"CONNECTICUT","State Total",3460503,99,"total","violent_crime",10767
"46",2002,"CONNECTICUT","State Total",1e+05,99,"rate","violent_crime",311.1
"47",2002,"DELAWARE","Metropolitan Statistical Area",645993,0.999,"Area actually reporting","violent_crime",3961
"48",2002,"DELAWARE","Metropolitan Statistical Area",645993,1,"Estimated total","violent_crime",3966
"49",2002,"DELAWARE","Cities outside metropolitan areas",37573,1,"Area actually reporting","violent_crime",293
"50",2002,"DELAWARE","Rural",123819,1,"Area actually reporting","violent_crime",577
"51",2002,"DELAWARE","State Total",807385,99,"total","violent_crime",4836
"52",2002,"DELAWARE","State Total",1e+05,99,"rate","violent_crime",599
"53",2002,"DISTRICT OF COLUMBIA","Metropolitan Statistical Area",570898,1,"Area actually reporting","violent_crime",9322
"54",2002,"DISTRICT OF COLUMBIA","Total",570898,99,"total","violent_crime",9322
"55",2002,"DISTRICT OF COLUMBIA","Total",1e+05,99,"rate","violent_crime",1632.9
"56",2002,"FLORIDA","Metropolitan Statistical Area",15515922,0.992,"Area actually reporting","violent_crime",121332
"57",2002,"FLORIDA","Metropolitan Statistical Area",15515922,1,"Estimated total","violent_crime",122124
"58",2002,"FLORIDA","Cities outside metropolitan areas",240207,0.988,"Area actually reporting","violent_crime",2120
"59",2002,"FLORIDA","Cities outside metropolitan areas",240207,1,"Estimated total","violent_crime",2144
"60",2002,"FLORIDA","Rural",957020,1,"Area actually reporting","violent_crime",4453
"61",2002,"FLORIDA","State Total",16713149,99,"total","violent_crime",128721
"62",2002,"FLORIDA","State Total",1e+05,99,"rate","violent_crime",770.2
"63",2002,"GEORGIA","Metropolitan Statistical Area",5925447,0.99,"Area actually reporting","violent_crime",28554
"64",2002,"GEORGIA","Metropolitan Statistical Area",5925447,1,"Estimated total","violent_crime",28856
"65",2002,"GEORGIA","Cities outside metropolitan areas",915341,0.923,"Area actually reporting","violent_crime",5642
