"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",2011,"ALABAMA","Metropolitan Statistical Area",3431868,0.978,"Area actually reporting","violent_crime",15393
"2",2011,"ALABAMA","Metropolitan Statistical Area",3431868,1,"Estimated total","violent_crime",15575
"3",2011,"ALABAMA","Cities outside metropolitan areas",625776,0.984,"Area actually reporting","violent_crime",3199
"4",2011,"ALABAMA","Cities outside metropolitan areas",625776,1,"Estimated total","violent_crime",3228
"5",2011,"ALABAMA","Nonmetropolitan counties",745096,0.978,"Area actually reporting","violent_crime",1341
"6",2011,"ALABAMA","Nonmetropolitan counties",745096,1,"Estimated total","violent_crime",1371
"7",2011,"ALABAMA","State Total",4802740,99,"total","violent_crime",20174
"8",2011,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",420.1
"9",2011,"ALASKA","Metropolitan Statistical Area",345208,1,"Area actually reporting","violent_crime",2646
"10",2011,"ALASKA","Cities outside metropolitan areas",125661,0.939,"Area actually reporting","violent_crime",678
"11",2011,"ALASKA","Cities outside metropolitan areas",125661,1,"Estimated total","violent_crime",722
"12",2011,"ALASKA","Nonmetropolitan counties",251849,1,"Area actually reporting","violent_crime",1015
"13",2011,"ALASKA","State Total",722718,99,"total","violent_crime",4383
"14",2011,"ALASKA","State Total",1e+05,99,"rate","violent_crime",606.5
"15",2011,"ARIZONA","Metropolitan Statistical Area",5998271,0.995,"Area actually reporting","violent_crime",22804
"16",2011,"ARIZONA","Metropolitan Statistical Area",5998271,1,"Estimated total","violent_crime",22877
"17",2011,"ARIZONA","Cities outside metropolitan areas",205812,0.886,"Area actually reporting","violent_crime",2392
"18",2011,"ARIZONA","Cities outside metropolitan areas",205812,1,"Estimated total","violent_crime",2742
"19",2011,"ARIZONA","Nonmetropolitan counties",278422,0.981,"Area actually reporting","violent_crime",680
"20",2011,"ARIZONA","Nonmetropolitan counties",278422,1,"Estimated total","violent_crime",692
"21",2011,"ARIZONA","State Total",6482505,99,"total","violent_crime",26311
"22",2011,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",405.9
"23",2011,"ARKANSAS","Metropolitan Statistical Area",1770662,0.958,"Area actually reporting","violent_crime",10344
"24",2011,"ARKANSAS","Metropolitan Statistical Area",1770662,1,"Estimated total","violent_crime",10597
"25",2011,"ARKANSAS","Cities outside metropolitan areas",512170,0.965,"Area actually reporting","violent_crime",2326
"26",2011,"ARKANSAS","Cities outside metropolitan areas",512170,1,"Estimated total","violent_crime",2410
"27",2011,"ARKANSAS","Nonmetropolitan counties",655147,0.929,"Area actually reporting","violent_crime",1043
