"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",2005,"ALABAMA","Metropolitan Statistical Area",3225901,0.869,"Area actually reporting","violent_crime",14466
"2",2005,"ALABAMA","Metropolitan Statistical Area",3225901,1,"Estimated total","violent_crime",15745
"3",2005,"ALABAMA","Cities outside metropolitan areas",578770,0.778,"Area actually reporting","violent_crime",2208
"4",2005,"ALABAMA","Cities outside metropolitan areas",578770,1,"Estimated total","violent_crime",2825
"5",2005,"ALABAMA","Nonmetropolitan counties",753137,0.846,"Area actually reporting","violent_crime",937
"6",2005,"ALABAMA","Nonmetropolitan counties",753137,1,"Estimated total","violent_crime",1108
"7",2005,"ALABAMA","State Total",4557808,99,"total","violent_crime",19678
"8",2005,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",431.7
"9",2005,"ALASKA","Metropolitan Statistical Area",324121,1,"Area actually reporting","violent_crime",2510
"10",2005,"ALASKA","Cities outside metropolitan areas",123801,0.895,"Area actually reporting","violent_crime",571
"11",2005,"ALASKA","Cities outside metropolitan areas",123801,1,"Estimated total","violent_crime",638
"12",2005,"ALASKA","Nonmetropolitan counties",215739,1,"Area actually reporting","violent_crime",1046
"13",2005,"ALASKA","State Total",663661,99,"total","violent_crime",4194
"14",2005,"ALASKA","State Total",1e+05,99,"rate","violent_crime",631.9
"15",2005,"ARIZONA","Metropolitan Statistical Area",5285836,0.926,"Area actually reporting","violent_crime",27028
"16",2005,"ARIZONA","Metropolitan Statistical Area",5285836,1,"Estimated total","violent_crime",27940
"17",2005,"ARIZONA","Cities outside metropolitan areas",321912,0.987,"Area actually reporting","violent_crime",1314
"18",2005,"ARIZONA","Cities outside metropolitan areas",321912,1,"Estimated total","violent_crime",1331
"19",2005,"ARIZONA","Nonmetropolitan counties",331544,0.884,"Area actually reporting","violent_crime",1066
"20",2005,"ARIZONA","Nonmetropolitan counties",331544,1,"Estimated total","violent_crime",1207
"21",2005,"ARIZONA","State Total",5939292,99,"total","violent_crime",30478
"22",2005,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",513.2
"23",2005,"ARKANSAS","Metropolitan Statistical Area",1616500,0.975,"Area actually reporting","violent_crime",11060
"24",2005,"ARKANSAS","Metropolitan Statistical Area",1616500,1,"Estimated total","violent_crime",11197
"25",2005,"ARKANSAS","Cities outside metropolitan areas",490978,0.933,"Area actually reporting","violent_crime",2133
"26",2005,"ARKANSAS","Cities outside metropolitan areas",490978,1,"Estimated total","violent_crime",2288
"27",2005,"ARKANSAS","Nonmetropolitan counties",671676,0.85,"Area actually reporting","violent_crime",997
"28",2005,"ARKANSAS","Nonmetropolitan counties",671676,1,"Estimated total","violent_crime",1174
"29",2005,"ARKANSAS","State Total",2779154,99,"total","violent_crime",14659
"30",2005,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",527.5
"31",2005,"CALIFORNIA","Metropolitan Statistical Area",35292558,1,"Area actually reporting","violent_crime",186982
"32",2005,"CALIFORNIA","Cities outside metropolitan areas",267741,1,"Area actually reporting","violent_crime",1240
"33",2005,"CALIFORNIA","Nonmetropolitan counties",571848,1,"Area actually reporting","violent_crime",1956
"34",2005,"CALIFORNIA","State Total",36132147,99,"total","violent_crime",190178
"35",2005,"CALIFORNIA","State Total",1e+05,99,"rate","violent_crime",526.3
"36",2005,"COLORADO","Metropolitan Statistical Area",4005624,0.972,"Area actually reporting","violent_crime",16376
"37",2005,"COLORADO","Metropolitan Statistical Area",4005624,1,"Estimated total","violent_crime",16712
"38",2005,"COLORADO","Cities outside metropolitan areas",297857,0.925,"Area actually reporting","violent_crime",1109
"39",2005,"COLORADO","Cities outside metropolitan areas",297857,1,"Estimated total","violent_crime",1200
