"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",1996,"ALABAMA","Metropolitan Statistical Area",2887286,0.996,"Area actually reporting","violent_crime",19008
"2",1996,"ALABAMA","Metropolitan Statistical Area",2887286,1,"Estimated totals","violent_crime",19068
"3",1996,"ALABAMA","Cities outside metropolitan areas",603124,0.93,"Area actually reporting","violent_crime",3570
"4",1996,"ALABAMA","Cities outside metropolitan areas",603124,1,"Estimated totals","violent_crime",3837
"5",1996,"ALABAMA","Rural",782590,0.934,"Area actually reporting","violent_crime",1171
"6",1996,"ALABAMA","Rural",782590,1,"Estimated totals","violent_crime",1254
"7",1996,"ALABAMA","State Total",4273000,99,"total","violent_crime",24159
"8",1996,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",565.4
"9",1996,"ALASKA","Metropolitan Statistical Area",254774,1,"Area actually reporting","violent_crime",2078
"10",1996,"ALASKA","Cities outside metropolitan areas",161128,0.666,"Area actually reporting","violent_crime",902
"11",1996,"ALASKA","Cities outside metropolitan areas",161128,1,"Estimated totals","violent_crime",1356
"12",1996,"ALASKA","Rural",191098,1,"Area actually reporting","violent_crime",983
"13",1996,"ALASKA","State Total",607000,99,"total","violent_crime",4417
"14",1996,"ALASKA","State Total",1e+05,99,"rate","violent_crime",727.7
"15",1996,"ARIZONA","Metropolitan Statistical Area",3747461,0.989,"Area actually reporting","violent_crime",25388
"16",1996,"ARIZONA","Metropolitan Statistical Area",3747461,1,"Estimated totals","violent_crime",25586
"17",1996,"ARIZONA","Cities outside metropolitan areas",338707,0.898,"Area actually reporting","violent_crime",1341
"18",1996,"ARIZONA","Cities outside metropolitan areas",338707,1,"Estimated totals","violent_crime",1493
"19",1996,"ARIZONA","Rural",341832,0.787,"Area actually reporting","violent_crime",695
"20",1996,"ARIZONA","Rural",341832,1,"Estimated totals","violent_crime",884
"21",1996,"ARIZONA","State Total",4428000,99,"total","violent_crime",27963
"22",1996,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",631.5
"23",1996,"ARKANSAS","Metropolitan Statistical Area",1204110,1,"Area actually reporting","violent_crime",8761
"24",1996,"ARKANSAS","Cities outside metropolitan areas",500249,1,"Area actually reporting","violent_crime",3185
"25",1996,"ARKANSAS","Rural",805641,1,"Area actually reporting","violent_crime",1215
"26",1996,"ARKANSAS","State Total",2510000,99,"total","violent_crime",13161
"27",1996,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",524.3
"28",1996,"CALIFORNIA","Metropolitan Statistical Area",30806175,1,"Area actually reporting","violent_crime",268752
"29",1996,"CALIFORNIA","Cities outside metropolitan areas",442563,1,"Area actually reporting","violent_crime",3213
"30",1996,"CALIFORNIA","Rural",629262,1,"Area actually reporting","violent_crime",3031
"31",1996,"CALIFORNIA","State Total",31878000,99,"total","violent_crime",274996
"32",1996,"CALIFORNIA","State Total",1e+05,99,"rate","violent_crime",862.7
"33",1996,"COLORADO","Metropolitan Statistical Area",3218581,0.969,"Area actually reporting","violent_crime",13652
"34",1996,"COLORADO","Metropolitan Statistical Area",3218581,1,"Estimated totals","violent_crime",14087
"35",1996,"COLORADO","Cities outside metropolitan areas",286839,0.929,"Area actually reporting","violent_crime",817
"36",1996,"COLORADO","Cities outside metropolitan areas",286839,1,"Estimated totals","violent_crime",879
"37",1996,"COLORADO","Rural",317580,0.99,"Area actually reporting","violent_crime",492
"38",1996,"COLORADO","Rural",317580,1,"Estimated totals","violent_crime",497
"39",1996,"COLORADO","State Total",3823000,99,"total","violent_crime",15463
"40",1996,"COLORADO","State Total",1e+05,99,"rate","violent_crime",404.5
"41",1996,"CONNECTICUT","Metropolitan Statistical Area",3013673,1,"Area actually reporting","violent_crime",12849
"42",1996,"CONNECTICUT","Cities outside metropolitan areas",66969,1,"Area actually reporting","violent_crime",194
"43",1996,"CONNECTICUT","Rural",193358,1,"Area actually reporting","violent_crime",447
"44",1996,"CONNECTICUT","State Total",3274000,99,"total","violent_crime",13490
"45",1996,"CONNECTICUT","State Total",1e+05,99,"rate","violent_crime",412
"46",1996,"DELAWARE","Metropolitan Statistical Area",601197,0.999,"Area actually reporting","violent_crime",3812
"47",1996,"DELAWARE","Metropolitan Statistical Area",601197,1,"Estimated totals","violent_crime",3813
"48",1996,"DELAWARE","Cities outside metropolitan areas",30772,1,"Area actually reporting","violent_crime",247
"49",1996,"DELAWARE","Rural",93031,1,"Area actually reporting","violent_crime",785
"50",1996,"DELAWARE","State Total",725000,99,"total","violent_crime",4845
"51",1996,"DELAWARE","State Total",1e+05,99,"rate","violent_crime",668.3
"52",1996,"DISTRICT OF COLUMBIA","Metropolitan Statistical Area",543000,1,"Area actually reporting","violent_crime",13411
"53",1996,"DISTRICT OF COLUMBIA","State Total",543000,99,"total","violent_crime",13411
"54",1996,"DISTRICT OF COLUMBIA","State Total",1e+05,99,"rate","violent_crime",2469.8
"55",1996,"FLORIDA","State Total",14400000,99,"total","violent_crime",151350
"56",1996,"FLORIDA","State Total",1e+05,99,"rate","violent_crime",1051
"57",1996,"GEORGIA","Metropolitan Statistical Area",5010645,0.977,"Area actually reporting","violent_crime",34523
"58",1996,"GEORGIA","Metropolitan Statistical Area",5010645,1,"Estimated totals","violent_crime",35018
"59",1996,"GEORGIA","Cities outside metropolitan areas",894913,0.95,"Area actually reporting","violent_crime",7053
"60",1996,"GEORGIA","Cities outside metropolitan areas",894913,1,"Estimated totals","violent_crime",7427
"61",1996,"GEORGIA","Rural",1447442,0.939,"Area actually reporting","violent_crime",4245
"62",1996,"GEORGIA","Rural",1447442,1,"Estimated totals","violent_crime",4521
"63",1996,"GEORGIA","State Total",7353000,99,"total","violent_crime",46966
"64",1996,"GEORGIA","State Total",1e+05,99,"rate","violent_crime",638.7
"65",1996,"HAWAII","Metropolitan Statistical Area",878044,1,"Area actually reporting","violent_crime",2748
"66",1996,"HAWAII","Cities outside metropolitan areas",40475,1,"Area actually reporting","violent_crime",86
"67",1996,"HAWAII","Rural",265481,1,"Area actually reporting","violent_crime",488
"68",1996,"HAWAII","State Total",1184000,99,"total","violent_crime",3322
"69",1996,"HAWAII","State Total",1e+05,99,"rate","violent_crime",280.6
"70",1996,"IDAHO","Metropolitan Statistical Area",439446,1,"Area actually reporting","violent_crime",1184
"71",1996,"IDAHO","Cities outside metropolitan areas",353621,0.99,"Area actually reporting","violent_crime",1253
"72",1996,"IDAHO","Cities outside metropolitan areas",353621,1,"Estimated totals","violent_crime",1265
"73",1996,"IDAHO","Rural",395933,0.989,"Area actually reporting","violent_crime",720
"74",1996,"IDAHO","Rural",395933,1,"Estimated totals","violent_crime",728
"75",1996,"IDAHO","State Total",1189000,99,"total","violent_crime",3177
"76",1996,"IDAHO","State Total",1e+05,99,"rate","violent_crime",267.2
"77",1996,"ILLINOIS","State Total",11847000,99,"total","violent_crime",104985
"78",1996,"ILLINOIS","State Total",1e+05,99,"rate","violent_crime",886.2
"79",1996,"INDIANA","Metropolitan Statistical Area",4188299,0.828,"Area actually reporting","violent_crime",23965
"80",1996,"INDIANA","Metropolitan Statistical Area",4188299,1,"Estimated totals","violent_crime",25985
"81",1996,"INDIANA","Cities outside metropolitan areas",595163,0.628,"Area actually reporting","violent_crime",1988
"82",1996,"INDIANA","Cities outside metropolitan areas",595163,1,"Estimated totals","violent_crime",3166
"83",1996,"INDIANA","Rural",1057538,0.531,"Area actually reporting","violent_crime",1177
"84",1996,"INDIANA","Rural",1057538,1,"Estimated totals","violent_crime",2215
"85",1996,"INDIANA","State Total",5841000,99,"total","violent_crime",31366
"86",1996,"INDIANA","State Total",1e+05,99,"rate","violent_crime",537
"87",1996,"IOWA","Metropolitan Statistical Area",1255805,0.963,"Area actually reporting","violent_crime",5435
"88",1996,"IOWA","Metropolitan Statistical Area",1255805,1,"Estimated totals","violent_crime",5511
"89",1996,"IOWA","Cities outside metropolitan areas",710580,0.844,"Area actually reporting","violent_crime",1484
"90",1996,"IOWA","Cities outside metropolitan areas",710580,1,"Estimated totals","violent_crime",1758
