"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",2013,"ALABAMA","Metropolitan Statistical Area",3672399,0.962,"Area actually reporting","violent_crime",NA
"2",2013,"ALABAMA","Metropolitan Statistical Area",3672399,1,"Estimated total","violent_crime",16664
"3",2013,"ALABAMA","Cities outside metropolitan areas",528341,0.94,"Area actually reporting","violent_crime",NA
"4",2013,"ALABAMA","Cities outside metropolitan areas",528341,1,"Estimated total","violent_crime",2840
"5",2013,"ALABAMA","Nonmetropolitan counties",632982,0.992,"Area actually reporting","violent_crime",NA
"6",2013,"ALABAMA","Nonmetropolitan counties",632982,1,"Estimated total","violent_crime",1322
"7",2013,"ALABAMA","State Total",4833722,99,"total","violent_crime",20826
"8",2013,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",430.8
"9",2013,"ALASKA","Metropolitan Statistical Area",349294,1,"Area actually reporting","violent_crime",2734
"10",2013,"ALASKA","Cities outside metropolitan areas",128768,0.966,"Area actually reporting","violent_crime",NA
"11",2013,"ALASKA","Cities outside metropolitan areas",128768,1,"Estimated total","violent_crime",795
"12",2013,"ALASKA","Nonmetropolitan counties",257070,1,"Area actually reporting","violent_crime",1179
"13",2013,"ALASKA","State Total",735132,99,"total","violent_crime",4708
"14",2013,"ALASKA","State Total",1e+05,99,"rate","violent_crime",640.4
"15",2013,"ARIZONA","Metropolitan Statistical Area",6277606,0.998,"Area actually reporting","violent_crime",NA
"16",2013,"ARIZONA","Metropolitan Statistical Area",6277606,1,"Estimated total","violent_crime",24832
"17",2013,"ARIZONA","Cities outside metropolitan areas",123679,0.884,"Area actually reporting","violent_crime",NA
"18",2013,"ARIZONA","Cities outside metropolitan areas",123679,1,"Estimated total","violent_crime",2378
"19",2013,"ARIZONA","Nonmetropolitan counties",225339,1,"Area actually reporting","violent_crime",389
"20",2013,"ARIZONA","State Total",6626624,99,"total","violent_crime",27599
"21",2013,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",416.5
"22",2013,"ARKANSAS","Metropolitan Statistical Area",1803197,0.961,"Area actually reporting","violent_crime",NA
"23",2013,"ARKANSAS","Metropolitan Statistical Area",1803197,1,"Estimated total","violent_crime",9872
"24",2013,"ARKANSAS","Cities outside metropolitan areas",509967,0.925,"Area actually reporting","violent_crime",NA
"25",2013,"ARKANSAS","Cities outside metropolitan areas",509967,1,"Estimated total","violent_crime",2382
"26",2013,"ARKANSAS","Nonmetropolitan counties",646209,0.923,"Area actually reporting","violent_crime",NA
"27",2013,"ARKANSAS","Nonmetropolitan counties",646209,1,"Estimated total","violent_crime",1367
"28",2013,"ARKANSAS","State Total",2959373,99,"total","violent_crime",13621
"29",2013,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",460.3
"30",2013,"CALIFORNIA","Metropolitan Statistical Area",37497856,0.999,"Area actually reporting","violent_crime",NA
"31",2013,"CALIFORNIA","Metropolitan Statistical Area",37497856,1,"Estimated total","violent_crime",150459
"32",2013,"CALIFORNIA","Cities outside metropolitan areas",271108,1,"Area actually reporting","violent_crime",1661
"33",2013,"CALIFORNIA","Nonmetropolitan counties",563557,1,"Area actually reporting","violent_crime",2009
"34",2013,"CALIFORNIA","State Total",38332521,99,"total","violent_crime",154129
"35",2013,"CALIFORNIA","State Total",1e+05,99,"rate","violent_crime",402.1
"36",2013,"COLORADO","Metropolitan Statistical Area",4578645,0.983,"Area actually reporting","violent_crime",NA
"37",2013,"COLORADO","Metropolitan Statistical Area",4578645,1,"Estimated total","violent_crime",14979
"38",2013,"COLORADO","Cities outside metropolitan areas",327070,0.938,"Area actually reporting","violent_crime",NA
"39",2013,"COLORADO","Cities outside metropolitan areas",327070,1,"Estimated total","violent_crime",809
"40",2013,"COLORADO","Nonmetropolitan counties",362652,0.975,"Area actually reporting","violent_crime",NA
"41",2013,"COLORADO","Nonmetropolitan counties",362652,1,"Estimated total","violent_crime",438
"42",2013,"COLORADO","State Total",5268367,99,"total","violent_crime",16226
"43",2013,"COLORADO","State Total",1e+05,99,"rate","violent_crime",308
"44",2013,"CONNECTICUT","Metropolitan Statistical Area",2942348,1,"Area actually reporting","violent_crime",8879
"45",2013,"CONNECTICUT","Cities outside metropolitan areas",116380,1,"Area actually reporting","violent_crime",148
"46",2013,"CONNECTICUT","Nonmetropolitan counties",537352,1,"Area actually reporting","violent_crime",413
"47",2013,"CONNECTICUT","State Total",3596080,99,"total","violent_crime",9440
"48",2013,"CONNECTICUT","State Total",1e+05,99,"rate","violent_crime",262.5
"49",2013,"DELAWARE","Metropolitan Statistical Area",925749,1,"Area actually reporting","violent_crime",4547
"50",2013,"DELAWARE","Nonmetropolitan counties",0,1,"Area actually reporting","violent_crime",2
"51",2013,"DELAWARE","State Total",925749,99,"total","violent_crime",4549
"52",2013,"DELAWARE","State Total",1e+05,99,"rate","violent_crime",491.4
"53",2013,"DISTRICT OF COLUMBIA","Metropolitan Statistical Area",646449,1,"Area actually reporting","violent_crime",8406
"54",2013,"DISTRICT OF COLUMBIA","Total",646449,99,"total","violent_crime",8406
"55",2013,"DISTRICT OF COLUMBIA","Total",1e+05,99,"rate","violent_crime",1300.3
"56",2013,"FLORIDA","Metropolitan Statistical Area",18847207,0.999,"Area actually reporting","violent_crime",NA
"57",2013,"FLORIDA","Metropolitan Statistical Area",18847207,1,"Estimated total","violent_crime",88501
"58",2013,"FLORIDA","Cities outside metropolitan areas",147373,0.965,"Area actually reporting","violent_crime",NA
"59",2013,"FLORIDA","Cities outside metropolitan areas",147373,1,"Estimated total","violent_crime",1158
"60",2013,"FLORIDA","Nonmetropolitan counties",558280,0.941,"Area actually reporting","violent_crime",NA
"61",2013,"FLORIDA","Nonmetropolitan counties",558280,1,"Estimated total","violent_crime",2327
"62",2013,"FLORIDA","State Total",19552860,99,"total","violent_crime",91986
