"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",1998,"ALABAMA","Metropolitan Statistical Area",2947427,0.987,"Area actually reporting","violent_crime",16395
"2",1998,"ALABAMA","Metropolitan Statistical Area",2947427,1,"Estimated totals","violent_crime",16581
"3",1998,"ALABAMA","Cities outside metropolitan areas",601967,0.909,"Area actually reporting","violent_crime",3796
"4",1998,"ALABAMA","Cities outside metropolitan areas",601967,1,"Estimated totals","violent_crime",4177
"5",1998,"ALABAMA","Rural",802606,0.9,"Area actually reporting","violent_crime",1375
"6",1998,"ALABAMA","Rural",802606,1,"Estimated totals","violent_crime",1528
"7",1998,"ALABAMA","State Total",4352000,99,"total","violent_crime",22286
"8",1998,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",512.1
"9",1998,"ALASKA","Metropolitan Statistical Area",254250,1,"Area actually reporting","violent_crime",1632
"10",1998,"ALASKA","Cities outside metropolitan areas",166417,0.532,"Area actually reporting","violent_crime",848
"11",1998,"ALASKA","Cities outside metropolitan areas",166417,1,"Estimated totals","violent_crime",1594
"12",1998,"ALASKA","Rural",193333,1,"Area actually reporting","violent_crime",789
"13",1998,"ALASKA","State Total",614000,99,"total","violent_crime",4015
"14",1998,"ALASKA","State Total",1e+05,99,"rate","violent_crime",653.9
"15",1998,"ARIZONA","Metropolitan Statistical Area",4092261,0.982,"Area actually reporting","violent_crime",24885
"16",1998,"ARIZONA","Metropolitan Statistical Area",4092261,1,"Estimated totals","violent_crime",25105
"17",1998,"ARIZONA","Cities outside metropolitan areas",284019,0.948,"Area actually reporting","violent_crime",1040
"18",1998,"ARIZONA","Cities outside metropolitan areas",284019,1,"Estimated totals","violent_crime",1098
"19",1998,"ARIZONA","Rural",292720,1,"Area actually reporting","violent_crime",781
"20",1998,"ARIZONA","State Total",4669000,99,"total","violent_crime",26984
"21",1998,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",577.9
"22",1998,"ARKANSAS","Metropolitan Statistical Area",1230733,1,"Area actually reporting","violent_crime",7929
"23",1998,"ARKANSAS","Cities outside metropolitan areas",489783,0.991,"Area actually reporting","violent_crime",3136
"24",1998,"ARKANSAS","Cities outside metropolitan areas",489783,1,"Estimated totals","violent_crime",3164
"25",1998,"ARKANSAS","Rural",817484,1,"Area actually reporting","violent_crime",1349
"26",1998,"ARKANSAS","State Total",2538000,99,"total","violent_crime",12442
"27",1998,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",490.2
"28",1998,"CALIFORNIA","Metropolitan Statistical Area",31547182,0.999,"Area actually reporting","violent_crime",224351
