"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",2009,"ALABAMA","Metropolitan Statistical Area",3365303,0.984,"Area actually reporting","violent_crime",16313
"2",2009,"ALABAMA","Metropolitan Statistical Area",3365303,1,"Estimated total","violent_crime",16512
"3",2009,"ALABAMA","Cities outside metropolitan areas",607223,0.991,"Area actually reporting","violent_crime",3319
"4",2009,"ALABAMA","Cities outside metropolitan areas",607223,1,"Estimated total","violent_crime",3348
"5",2009,"ALABAMA","Nonmetropolitan counties",736182,0.99,"Area actually reporting","violent_crime",1306
"6",2009,"ALABAMA","Nonmetropolitan counties",736182,1,"Estimated total","violent_crime",1319
"7",2009,"ALABAMA","State Total",4708708,99,"total","violent_crime",21179
"8",2009,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",449.8
"9",2009,"ALASKA","Metropolitan Statistical Area",343318,1,"Area actually reporting","violent_crime",2892
"10",2009,"ALASKA","Cities outside metropolitan areas",122142,0.928,"Area actually reporting","violent_crime",622
"11",2009,"ALASKA","Cities outside metropolitan areas",122142,1,"Estimated total","violent_crime",670
"12",2009,"ALASKA","Nonmetropolitan counties",233013,1,"Area actually reporting","violent_crime",859
"13",2009,"ALASKA","State Total",698473,99,"total","violent_crime",4421
"14",2009,"ALASKA","State Total",1e+05,99,"rate","violent_crime",633
"15",2009,"ARIZONA","Metropolitan Statistical Area",6125527,0.993,"Area actually reporting","violent_crime",23912
"16",2009,"ARIZONA","Metropolitan Statistical Area",6125527,1,"Estimated total","violent_crime",24004
"17",2009,"ARIZONA","Cities outside metropolitan areas",204955,0.973,"Area actually reporting","violent_crime",2136
"18",2009,"ARIZONA","Cities outside metropolitan areas",204955,1,"Estimated total","violent_crime",2196
"19",2009,"ARIZONA","Nonmetropolitan counties",265296,1,"Area actually reporting","violent_crime",729
"20",2009,"ARIZONA","State Total",6595778,99,"total","violent_crime",26929
"21",2009,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",408.3
"22",2009,"ARKANSAS","Metropolitan Statistical Area",1737722,0.937,"Area actually reporting","violent_crime",10485
"23",2009,"ARKANSAS","Metropolitan Statistical Area",1737722,1,"Estimated total","violent_crime",10875
"24",2009,"ARKANSAS","Cities outside metropolitan areas",502577,0.981,"Area actually reporting","violent_crime",2669
"25",2009,"ARKANSAS","Cities outside metropolitan areas",502577,1,"Estimated total","violent_crime",2721
"26",2009,"ARKANSAS","Nonmetropolitan counties",649151,0.927,"Area actually reporting","violent_crime",1263
"27",2009,"ARKANSAS","Nonmetropolitan counties",649151,1,"Estimated total","violent_crime",1363
"28",2009,"ARKANSAS","State Total",2889450,99,"total","violent_crime",14959
"29",2009,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",517.7
"30",2009,"CALIFORNIA","Metropolitan Statistical Area",36127220,1,"Area actually reporting","violent_crime",171240
"31",2009,"CALIFORNIA","Cities outside metropolitan areas",267466,1,"Area actually reporting","violent_crime",1320
"32",2009,"CALIFORNIA","Nonmetropolitan counties",566978,1,"Area actually reporting","violent_crime",1899
"33",2009,"CALIFORNIA","State Total",36961664,99,"total","violent_crime",174459
"34",2009,"CALIFORNIA","State Total",1e+05,99,"rate","violent_crime",472
"35",2009,"COLORADO","Metropolitan Statistical Area",4337573,0.997,"Area actually reporting","violent_crime",15261
"36",2009,"COLORADO","Metropolitan Statistical Area",4337573,1,"Estimated total","violent_crime",15291
"37",2009,"COLORADO","Cities outside metropolitan areas",314714,0.922,"Area actually reporting","violent_crime",1037
"38",2009,"COLORADO","Cities outside metropolitan areas",314714,1,"Estimated total","violent_crime",1125
"39",2009,"COLORADO","Nonmetropolitan counties",372461,0.887,"Area actually reporting","violent_crime",497
"40",2009,"COLORADO","Nonmetropolitan counties",372461,1,"Estimated total","violent_crime",560
"41",2009,"COLORADO","State Total",5024748,99,"total","violent_crime",16976
"42",2009,"COLORADO","State Total",1e+05,99,"rate","violent_crime",337.8
"43",2009,"CONNECTICUT","Metropolitan Statistical Area",2818870,1,"Area actually reporting","violent_crime",9907
"44",2009,"CONNECTICUT","Cities outside metropolitan areas",157654,1,"Area actually reporting","violent_crime",255
"45",2009,"CONNECTICUT","Nonmetropolitan counties",541764,1,"Area actually reporting","violent_crime",346
"46",2009,"CONNECTICUT","State Total",3518288,99,"total","violent_crime",10508
"47",2009,"CONNECTICUT","State Total",1e+05,99,"rate","violent_crime",298.7
"48",2009,"DELAWARE","Metropolitan Statistical Area",692991,1,"Area actually reporting","violent_crime",4546
"49",2009,"DELAWARE","Cities outside metropolitan areas",43137,0.982,"Area actually reporting","violent_crime",399
"50",2009,"DELAWARE","Cities outside metropolitan areas",43137,1,"Estimated total","violent_crime",407
"51",2009,"DELAWARE","Nonmetropolitan counties",148994,1,"Area actually reporting","violent_crime",682
"52",2009,"DELAWARE","State Total",885122,99,"total","violent_crime",5635
"53",2009,"DELAWARE","State Total",1e+05,99,"rate","violent_crime",636.6
"54",2009,"DISTRICT OF COLUMBIA","Metropolitan Statistical Area",599657,1,"Area actually reporting","violent_crime",8071
"55",2009,"DISTRICT OF COLUMBIA","Total",599657,99,"total","violent_crime",8071
"56",2009,"DISTRICT OF COLUMBIA","Total",1e+05,99,"rate","violent_crime",1345.9
"57",2009,"FLORIDA","Metropolitan Statistical Area",17451538,0.999,"Area actually reporting","violent_crime",107889
"58",2009,"FLORIDA","Metropolitan Statistical Area",17451538,1,"Estimated total","violent_crime",107967
"59",2009,"FLORIDA","Cities outside metropolitan areas",184846,0.991,"Area actually reporting","violent_crime",1594
"60",2009,"FLORIDA","Cities outside metropolitan areas",184846,1,"Estimated total","violent_crime",1608
"61",2009,"FLORIDA","Nonmetropolitan counties",901585,0.991,"Area actually reporting","violent_crime",3932
"62",2009,"FLORIDA","Nonmetropolitan counties",901585,1,"Estimated total","violent_crime",3966
"63",2009,"FLORIDA","State Total",18537969,99,"total","violent_crime",113541
"64",2009,"FLORIDA","State Total",1e+05,99,"rate","violent_crime",612.5
"65",2009,"GEORGIA","Metropolitan Statistical Area",8020064,0.995,"Area actually reporting","violent_crime",34705
"66",2009,"GEORGIA","Metropolitan Statistical Area",8020064,1,"Estimated total","violent_crime",34856
"67",2009,"GEORGIA","Cities outside metropolitan areas",680207,0.863,"Area actually reporting","violent_crime",3778
"68",2009,"GEORGIA","Cities outside metropolitan areas",680207,1,"Estimated total","violent_crime",4372
"69",2009,"GEORGIA","Nonmetropolitan counties",1128940,0.945,"Area actually reporting","violent_crime",2505
"70",2009,"GEORGIA","Nonmetropolitan counties",1128940,1,"Estimated total","violent_crime",2652
"71",2009,"GEORGIA","State Total",9829211,99,"total","violent_crime",41880
"72",2009,"GEORGIA","State Total",1e+05,99,"rate","violent_crime",426.1
"73",2009,"HAWAII","Metropolitan Statistical Area",907124,1,"Area actually reporting","violent_crime",2537
"74",2009,"HAWAII","Nonmetropolitan counties",388054,1,"Area actually reporting","violent_crime",1022
"75",2009,"HAWAII","State Total",1295178,99,"total","violent_crime",3559
"76",2009,"HAWAII","State Total",1e+05,99,"rate","violent_crime",274.8
"77",2009,"IDAHO","Metropolitan Statistical Area",1019745,0.993,"Area actually reporting","violent_crime",2553
"78",2009,"IDAHO","Metropolitan Statistical Area",1019745,1,"Estimated total","violent_crime",2566
"79",2009,"IDAHO","Cities outside metropolitan areas",240694,0.993,"Area actually reporting","violent_crime",519
"80",2009,"IDAHO","Cities outside metropolitan areas",240694,1,"Estimated total","violent_crime",523
"81",2009,"IDAHO","Nonmetropolitan counties",285362,1,"Area actually reporting","violent_crime",441
"82",2009,"IDAHO","State Total",1545801,99,"total","violent_crime",3530
"83",2009,"IDAHO","State Total",1e+05,99,"rate","violent_crime",228.4
"84",2009,"ILLINOIS ","State Total",12910409,99,"total","violent_crime",64185
"85",2009,"ILLINOIS ","State Total",1e+05,99,"rate","violent_crime",497.2
"86",2009,"INDIANA","Metropolitan Statistical Area",5034111,0.9,"Area actually reporting","violent_crime",18722
"87",2009,"INDIANA","Metropolitan Statistical Area",5034111,1,"Estimated total","violent_crime",19389
"88",2009,"INDIANA","Cities outside metropolitan areas",504766,0.825,"Area actually reporting","violent_crime",893
"89",2009,"INDIANA","Cities outside metropolitan areas",504766,1,"Estimated total","violent_crime",1083
"90",2009,"INDIANA","Nonmetropolitan counties",884236,0.775,"Area actually reporting","violent_crime",722
"91",2009,"INDIANA","Nonmetropolitan counties",884236,1,"Estimated total","violent_crime",932
"92",2009,"INDIANA","State Total",6423113,99,"total","violent_crime",21404
"93",2009,"INDIANA","State Total",1e+05,99,"rate","violent_crime",333.2
"94",2009,"IOWA","Metropolitan Statistical Area",1704661,0.993,"Area actually reporting","violent_crime",5798
