"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",2012,"ALABAMA","Metropolitan Statistical Area",3650288,0.989,"Area actually reporting","violent_crime",16842
"2",2012,"ALABAMA","Metropolitan Statistical Area",3650288,1,"Estimated total","violent_crime",17034
"3",2012,"ALABAMA","Cities outside metropolitan areas",530240,0.941,"Area actually reporting","violent_crime",2813
"4",2012,"ALABAMA","Cities outside metropolitan areas",530240,1,"Estimated total","violent_crime",2972
"5",2012,"ALABAMA","Nonmetropolitan counties",641495,0.992,"Area actually reporting","violent_crime",1674
"6",2012,"ALABAMA","Nonmetropolitan counties",641495,1,"Estimated total","violent_crime",1687
"7",2012,"ALABAMA","State Total",4822023,99,"total","violent_crime",21693
"8",2012,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",449.9
"9",2012,"ALASKA","Metropolitan Statistical Area",348132,1,"Area actually reporting","violent_crime",2726
"10",2012,"ALASKA","Cities outside metropolitan areas",127551,0.965,"Area actually reporting","violent_crime",699
"11",2012,"ALASKA","Cities outside metropolitan areas",127551,1,"Estimated total","violent_crime",724
"12",2012,"ALASKA","Nonmetropolitan counties",255766,1,"Area actually reporting","violent_crime",962
"13",2012,"ALASKA","State Total",731449,99,"total","violent_crime",4412
"14",2012,"ALASKA","State Total",1e+05,99,"rate","violent_crime",603.2
"15",2012,"ARIZONA","Metropolitan Statistical Area",6202680,0.998,"Area actually reporting","violent_crime",25286
"16",2012,"ARIZONA","Metropolitan Statistical Area",6202680,1,"Estimated total","violent_crime",25312
"17",2012,"ARIZONA","Cities outside metropolitan areas",125367,0.789,"Area actually reporting","violent_crime",1909
"18",2012,"ARIZONA","Cities outside metropolitan areas",125367,1,"Estimated total","violent_crime",2418
"19",2012,"ARIZONA","Nonmetropolitan counties",225208,1,"Area actually reporting","violent_crime",378
"20",2012,"ARIZONA","State Total",6553255,99,"total","violent_crime",28108
"21",2012,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",428.9
"22",2012,"ARKANSAS","Metropolitan Statistical Area",1782720,0.925,"Area actually reporting","violent_crime",9710
"23",2012,"ARKANSAS","Metropolitan Statistical Area",1782720,1,"Estimated total","violent_crime",10163
"24",2012,"ARKANSAS","Cities outside metropolitan areas",510920,0.987,"Area actually reporting","violent_crime",2273
"25",2012,"ARKANSAS","Cities outside metropolitan areas",510920,1,"Estimated total","violent_crime",2303
"26",2012,"ARKANSAS","Nonmetropolitan counties",655491,0.89,"Area actually reporting","violent_crime",1217
"27",2012,"ARKANSAS","Nonmetropolitan counties",655491,1,"Estimated total","violent_crime",1369
"28",2012,"ARKANSAS","State Total",2949131,99,"total","violent_crime",13835
"29",2012,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",469.1
"30",2012,"CALIFORNIA","Metropolitan Statistical Area",37191572,0.999,"Area actually reporting","violent_crime",157689
