"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",1997,"ALABAMA","Metropolitan Statistical Area",2918448,0.994,"Area actually reporting","violent_crime",18731
"2",1997,"ALABAMA","Metropolitan Statistical Area",2918448,1,"Estimated totals","violent_crime",18825
"3",1997,"ALABAMA","Cities outside metropolitan areas",607632,0.949,"Area actually reporting","violent_crime",3857
"4",1997,"ALABAMA","Cities outside metropolitan areas",607632,1,"Estimated totals","violent_crime",4063
"5",1997,"ALABAMA","Rural",792920,0.749,"Area actually reporting","violent_crime",1117
"6",1997,"ALABAMA","Rural",792920,1,"Estimated totals","violent_crime",1491
"7",1997,"ALABAMA","State Total",4319000,99,"total","violent_crime",24379
"8",1997,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",564.5
"9",1997,"ALASKA","Metropolitan Statistical Area",255634,1,"Area actually reporting","violent_crime",1889
"10",1997,"ALASKA","Cities outside metropolitan areas",161640,0.533,"Area actually reporting","violent_crime",839
"11",1997,"ALASKA","Cities outside metropolitan areas",161640,1,"Estimated totals","violent_crime",1575
"12",1997,"ALASKA","Rural",191726,1,"Area actually reporting","violent_crime",806
"13",1997,"ALASKA","State Total",609000,99,"total","violent_crime",4270
"14",1997,"ALASKA","State Total",1e+05,99,"rate","violent_crime",701.1
"15",1997,"ARIZONA","Metropolitan Statistical Area",3854970,0.977,"Area actually reporting","violent_crime",25398
"16",1997,"ARIZONA","Metropolitan Statistical Area",3854970,1,"Estimated totals","violent_crime",25700
"17",1997,"ARIZONA","Cities outside metropolitan areas",348398,0.941,"Area actually reporting","violent_crime",1539
"18",1997,"ARIZONA","Cities outside metropolitan areas",348398,1,"Estimated totals","violent_crime",1636
"19",1997,"ARIZONA","Rural",351632,0.961,"Area actually reporting","violent_crime",1033
"20",1997,"ARIZONA","Rural",351632,1,"Estimated totals","violent_crime",1075
"21",1997,"ARIZONA","State Total",4555000,99,"total","violent_crime",28411
"22",1997,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",623.7
"23",1997,"ARKANSAS","Metropolitan Statistical Area",1210416,1,"Area actually reporting","violent_crime",8641
"24",1997,"ARKANSAS","Cities outside metropolitan areas",499407,0.996,"Area actually reporting","violent_crime",3212
"25",1997,"ARKANSAS","Cities outside metropolitan areas",499407,1,"Estimated totals","violent_crime",3224
"26",1997,"ARKANSAS","Rural",813177,0.975,"Area actually reporting","violent_crime",1392
"27",1997,"ARKANSAS","Rural",813177,1,"Estimated totals","violent_crime",1428
"28",1997,"ARKANSAS","State Total",2523000,99,"total","violent_crime",13293
"29",1997,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",526.9
"30",1997,"CALIFORNIA","Metropolitan Statistical Area",31183105,0.999,"Area actually reporting","violent_crime",251277
