"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",2014,"ALABAMA","Metropolitan Statistical Area",3692100,0.955,"Area actually reporting","violent_crime",16204
"2",2014,"ALABAMA","Metropolitan Statistical Area",3692100,1,"Estimated total","violent_crime",16702
"3",2014,"ALABAMA","Cities outside metropolitan areas",529129,0.933,"Area actually reporting","violent_crime",2605
"4",2014,"ALABAMA","Cities outside metropolitan areas",529129,1,"Estimated total","violent_crime",2769
"5",2014,"ALABAMA","Nonmetropolitan counties",628148,0.994,"Area actually reporting","violent_crime",1247
"6",2014,"ALABAMA","Nonmetropolitan counties",628148,1,"Estimated total","violent_crime",1256
"7",2014,"ALABAMA","State Total",4849377,99,"total","violent_crime",20727
"8",2014,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",427.4
"9",2014,"ALASKA","Metropolitan Statistical Area",351408,1,"Area actually reporting","violent_crime",2899
"10",2014,"ALASKA","Cities outside metropolitan areas",128681,0.966,"Area actually reporting","violent_crime",722
"11",2014,"ALASKA","Cities outside metropolitan areas",128681,1,"Estimated total","violent_crime",748
"12",2014,"ALASKA","Nonmetropolitan counties",256643,1,"Area actually reporting","violent_crime",1037
"13",2014,"ALASKA","State Total",736732,99,"total","violent_crime",4684
"14",2014,"ALASKA","State Total",1e+05,99,"rate","violent_crime",635.8
"15",2014,"ARIZONA","Metropolitan Statistical Area",6382968,0.981,"Area actually reporting","violent_crime",24006
"16",2014,"ARIZONA","Metropolitan Statistical Area",6382968,1,"Estimated total","violent_crime",24291
"17",2014,"ARIZONA","Cities outside metropolitan areas",123617,0.784,"Area actually reporting","violent_crime",1721
"18",2014,"ARIZONA","Cities outside metropolitan areas",123617,1,"Estimated total","violent_crime",2192
"19",2014,"ARIZONA","Nonmetropolitan counties",224899,1,"Area actually reporting","violent_crime",433
"20",2014,"ARIZONA","State Total",6731484,99,"total","violent_crime",26916
"21",2014,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",399.9
"22",2014,"ARKANSAS","Metropolitan Statistical Area",1818380,0.985,"Area actually reporting","violent_crime",9939
"23",2014,"ARKANSAS","Metropolitan Statistical Area",1818380,1,"Estimated total","violent_crime",10058
"24",2014,"ARKANSAS","Cities outside metropolitan areas",507788,0.889,"Area actually reporting","violent_crime",2349
"25",2014,"ARKANSAS","Cities outside metropolitan areas",507788,1,"Estimated total","violent_crime",2648
"26",2014,"ARKANSAS","Nonmetropolitan counties",640201,0.879,"Area actually reporting","violent_crime",1340
"27",2014,"ARKANSAS","Nonmetropolitan counties",640201,1,"Estimated total","violent_crime",1537
"28",2014,"ARKANSAS","State Total",2966369,99,"total","violent_crime",14243
"29",2014,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",480.1
"30",2014,"CALIFORNIA","Metropolitan Statistical Area",37970617,0.999,"Area actually reporting","violent_crime",150171
"31",2014,"CALIFORNIA","Metropolitan Statistical Area",37970617,1,"Estimated total","violent_crime",150192
"32",2014,"CALIFORNIA","Cities outside metropolitan areas",268396,1,"Area actually reporting","violent_crime",1524
"33",2014,"CALIFORNIA","Nonmetropolitan counties",563487,1,"Area actually reporting","violent_crime",1993
"34",2014,"CALIFORNIA","State Total",38802500,99,"total","violent_crime",153709
"35",2014,"CALIFORNIA","State Total",1e+05,99,"rate","violent_crime",396.1
"36",2014,"COLORADO","Metropolitan Statistical Area",4664010,0.985,"Area actually reporting","violent_crime",15229
"37",2014,"COLORADO","Metropolitan Statistical Area",4664010,1,"Estimated total","violent_crime",15365
"38",2014,"COLORADO","Cities outside metropolitan areas",334211,0.932,"Area actually reporting","violent_crime",735
"39",2014,"COLORADO","Cities outside metropolitan areas",334211,1,"Estimated total","violent_crime",790
"40",2014,"COLORADO","Nonmetropolitan counties",357645,0.996,"Area actually reporting","violent_crime",398
"41",2014,"COLORADO","Nonmetropolitan counties",357645,1,"Estimated total","violent_crime",399
"42",2014,"COLORADO","State Total",5355866,99,"total","violent_crime",16554
"43",2014,"COLORADO","State Total",1e+05,99,"rate","violent_crime",309.1
"44",2014,"CONNECTICUT","Metropolitan Statistical Area",2948198,1,"Area actually reporting","violent_crime",8068
"45",2014,"CONNECTICUT","Cities outside metropolitan areas",115968,1,"Area actually reporting","violent_crime",108
"46",2014,"CONNECTICUT","Nonmetropolitan counties",532511,1,"Area actually reporting","violent_crime",346
"47",2014,"CONNECTICUT","State Total",3596677,99,"total","violent_crime",8522
"48",2014,"CONNECTICUT","State Total",1e+05,99,"rate","violent_crime",236.9
"49",2014,"DELAWARE","Metropolitan Statistical Area",935614,1,"Area actually reporting","violent_crime",4575
"50",2014,"DELAWARE","Nonmetropolitan counties",0,1,"Area actually reporting","violent_crime",1
"51",2014,"DELAWARE","State Total",935614,99,"total","violent_crime",4576
"52",2014,"DELAWARE","State Total",1e+05,99,"rate","violent_crime",489.1
"53",2014,"DISTRICT OF COLUMBIA ","Metropolitan Statistical Area",658893,1,"Area actually reporting","violent_crime",8199
"54",2014,"DISTRICT OF COLUMBIA ","Total",658893,99,"total","violent_crime",8199
"55",2014,"DISTRICT OF COLUMBIA ","Total",1e+05,99,"rate","violent_crime",1244.4
"56",2014,"FLORIDA","Metropolitan Statistical Area",19186005,0.999,"Area actually reporting","violent_crime",104161
"57",2014,"FLORIDA","Metropolitan Statistical Area",19186005,1,"Estimated total","violent_crime",104272
"58",2014,"FLORIDA","Cities outside metropolitan areas",148283,0.97,"Area actually reporting","violent_crime",921
"59",2014,"FLORIDA","Cities outside metropolitan areas",148283,1,"Estimated total","violent_crime",949
"60",2014,"FLORIDA","Nonmetropolitan counties",559009,0.941,"Area actually reporting","violent_crime",2159
"61",2014,"FLORIDA","Nonmetropolitan counties",559009,1,"Estimated total","violent_crime",2300
"62",2014,"FLORIDA","State Total",19893297,99,"total","violent_crime",107521
"63",2014,"FLORIDA","State Total",1e+05,99,"rate","violent_crime",540.5
"64",2014,"GEORGIA","Metropolitan Statistical Area",8320348,0.994,"Area actually reporting","violent_crime",32097
"65",2014,"GEORGIA","Metropolitan Statistical Area",8320348,1,"Estimated total","violent_crime",32360
"66",2014,"GEORGIA","Cities outside metropolitan areas",662709,0.903,"Area actually reporting","violent_crime",3041
"67",2014,"GEORGIA","Cities outside metropolitan areas",662709,1,"Estimated total","violent_crime",3352
"68",2014,"GEORGIA","Nonmetropolitan counties",1114286,0.915,"Area actually reporting","violent_crime",2179
"69",2014,"GEORGIA","Nonmetropolitan counties",1114286,1,"Estimated total","violent_crime",2385
"70",2014,"GEORGIA","State Total",10097343,99,"total","violent_crime",38097
"71",2014,"GEORGIA","State Total",1e+05,99,"rate","violent_crime",377.3
"72",2014,"HAWAII","Metropolitan Statistical Area",1156263,1,"Area actually reporting","violent_crime",2901
"73",2014,"HAWAII","Nonmetropolitan counties",263298,1,"Estimated total","violent_crime",779
"74",2014,"HAWAII","State Total",1419561,99,"total","violent_crime",3680
"75",2014,"HAWAII","State Total",1e+05,99,"rate","violent_crime",259.2
"76",2014,"IDAHO","Metropolitan Statistical Area",1086169,0.999,"Area actually reporting","violent_crime",2431
"77",2014,"IDAHO","Metropolitan Statistical Area",1086169,1,"Estimated total","violent_crime",2432
"78",2014,"IDAHO","Cities outside metropolitan areas",250458,1,"Area actually reporting","violent_crime",628
"79",2014,"IDAHO","Nonmetropolitan counties",297837,1,"Area actually reporting","violent_crime",408
"80",2014,"IDAHO","State Total",1634464,99,"total","violent_crime",3468
"81",2014,"IDAHO","State Total",1e+05,99,"rate","violent_crime",212.2
"82",2014,"ILLINOIS","Metropolitan Statistical Area",11380871,0.963,"Area actually reporting","violent_crime",43827
"83",2014,"ILLINOIS","Metropolitan Statistical Area",11380871,1,"Estimated total","violent_crime",44639
"84",2014,"ILLINOIS","Cities outside metropolitan areas",832015,0.861,"Area actually reporting","violent_crime",2049
"85",2014,"ILLINOIS","Cities outside metropolitan areas",832015,1,"Estimated total","violent_crime",2377
"86",2014,"ILLINOIS","Nonmetropolitan counties",667694,0.936,"Area actually reporting","violent_crime",599
"87",2014,"ILLINOIS","Nonmetropolitan counties",667694,1,"Estimated total","violent_crime",647
"88",2014,"ILLINOIS","State Total",12880580,99,"total","violent_crime",47663
"89",2014,"ILLINOIS","State Total",1e+05,99,"rate","violent_crime",370
"90",2014,"INDIANA","Metropolitan Statistical Area",5123600,0.891,"Area actually reporting","violent_crime",20655
"91",2014,"INDIANA","Metropolitan Statistical Area",5123600,1,"Estimated total","violent_crime",21655
"92",2014,"INDIANA","Cities outside metropolitan areas",520959,0.682,"Area actually reporting","violent_crime",923
"93",2014,"INDIANA","Cities outside metropolitan areas",520959,1,"Estimated total","violent_crime",1352
"94",2014,"INDIANA","Nonmetropolitan counties",952296,0.705,"Area actually reporting","violent_crime",764
"95",2014,"INDIANA","Nonmetropolitan counties",952296,1,"Estimated total","violent_crime",1092
"96",2014,"INDIANA","State Total",6596855,99,"total","violent_crime",24099
"97",2014,"INDIANA","State Total",1e+05,99,"rate","violent_crime",365.3
"98",2014,"IOWA","Metropolitan Statistical Area",1816911,0.976,"Area actually reporting","violent_crime",5597
"99",2014,"IOWA","Metropolitan Statistical Area",1816911,1,"Estimated total","violent_crime",5673
"100",2014,"IOWA","Cities outside metropolitan areas",601521,0.916,"Area actually reporting","violent_crime",1811
"101",2014,"IOWA","Cities outside metropolitan areas",601521,1,"Estimated total","violent_crime",1980
"102",2014,"IOWA","Nonmetropolitan counties",688694,0.864,"Area actually reporting","violent_crime",726
"103",2014,"IOWA","Nonmetropolitan counties",688694,1,"Estimated total","violent_crime",844
"104",2014,"IOWA","State Total",3107126,99,"total","violent_crime",8497
"105",2014,"IOWA","State Total",1e+05,99,"rate","violent_crime",273.5
"106",2014,"KANSAS","Metropolitan Statistical Area",1950218,0.984,"Area actually reporting","violent_crime",7209
"107",2014,"KANSAS","Metropolitan Statistical Area",1950218,1,"Estimated total","violent_crime",7262
"108",2014,"KANSAS","Cities outside metropolitan areas",612758,0.953,"Area actually reporting","violent_crime",2062
"109",2014,"KANSAS","Cities outside metropolitan areas",612758,1,"Estimated total","violent_crime",2161
"110",2014,"KANSAS","Nonmetropolitan counties",341045,0.964,"Area actually reporting","violent_crime",673
"111",2014,"KANSAS","Nonmetropolitan counties",341045,1,"Estimated total","violent_crime",700
"112",2014,"KANSAS","State Total",2904021,99,"total","violent_crime",10123
"113",2014,"KANSAS","State Total",1e+05,99,"rate","violent_crime",348.6
"114",2014,"KENTUCKY","Metropolitan Statistical Area",2574779,0.998,"Area actually reporting","violent_crime",7057
"115",2014,"KENTUCKY","Metropolitan Statistical Area",2574779,1,"Estimated total","violent_crime",7065
"116",2014,"KENTUCKY","Cities outside metropolitan areas",538647,0.977,"Area actually reporting","violent_crime",869
"117",2014,"KENTUCKY","Cities outside metropolitan areas",538647,1,"Estimated total","violent_crime",887
"118",2014,"KENTUCKY","Nonmetropolitan counties",1300031,0.992,"Area actually reporting","violent_crime",1378
