"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",2016,"ALABAMA","Metropolitan Statistical Area",3716889,0.992,"Area actually reporting","violent_crime",20793
"2",2016,"ALABAMA","Metropolitan Statistical Area",3716889,1,"Estimated total","violent_crime",20949
"3",2016,"ALABAMA","Cities outside metropolitan areas",520422,0.966,"Area actually reporting","violent_crime",3551
"4",2016,"ALABAMA","Cities outside metropolitan areas",520422,1,"Estimated total","violent_crime",3646
"5",2016,"ALABAMA","Nonmetropolitan counties",625989,0.945,"Area actually reporting","violent_crime",1220
"6",2016,"ALABAMA","Nonmetropolitan counties",625989,1,"Estimated total","violent_crime",1291
"7",2016,"ALABAMA","State Total",4863300,99,"total","violent_crime",25886
"8",2016,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",532.3
"9",2016,"ALASKA","Metropolitan Statistical Area",350298,1,"Area actually reporting","violent_crime",3751
"10",2016,"ALASKA","Cities outside metropolitan areas",128053,0.974,"Area actually reporting","violent_crime",964
"11",2016,"ALASKA","Cities outside metropolitan areas",128053,1,"Estimated total","violent_crime",989
"12",2016,"ALASKA","Nonmetropolitan counties",263543,1,"Area actually reporting","violent_crime",1226
"13",2016,"ALASKA","State Total",741894,99,"total","violent_crime",5966
"14",2016,"ALASKA","State Total",1e+05,99,"rate","violent_crime",804.2
"15",2016,"ARIZONA","Metropolitan Statistical Area",6583506,0.983,"Area actually reporting","violent_crime",27522
"16",2016,"ARIZONA","Metropolitan Statistical Area",6583506,1,"Estimated total","violent_crime",27789
"17",2016,"ARIZONA","Cities outside metropolitan areas",124210,1,"Area actually reporting","violent_crime",4342
"18",2016,"ARIZONA","Nonmetropolitan counties",223355,1,"Area actually reporting","violent_crime",452
"19",2016,"ARIZONA","State Total",6931071,99,"total","violent_crime",32583
"20",2016,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",470.1
"21",2016,"ARKANSAS","Metropolitan Statistical Area",1851896,0.999,"Area actually reporting","violent_crime",11573
"22",2016,"ARKANSAS","Metropolitan Statistical Area",1851896,1,"Estimated total","violent_crime",11576
"23",2016,"ARKANSAS","Cities outside metropolitan areas",515688,0.941,"Area actually reporting","violent_crime",2925
"24",2016,"ARKANSAS","Cities outside metropolitan areas",515688,1,"Estimated total","violent_crime",3109
"25",2016,"ARKANSAS","Nonmetropolitan counties",620664,0.961,"Area actually reporting","violent_crime",1704
"26",2016,"ARKANSAS","Nonmetropolitan counties",620664,1,"Estimated total","violent_crime",1776
"27",2016,"ARKANSAS","State Total",2988248,99,"total","violent_crime",16461
"28",2016,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",550.9
"29",2016,"CALIFORNIA","Metropolitan Statistical Area",38426705,0.999,"Area actually reporting","violent_crime",170862
"30",2016,"CALIFORNIA","Metropolitan Statistical Area",38426705,1,"Estimated total","violent_crime",170887
"31",2016,"CALIFORNIA","Cities outside metropolitan areas",268891,1,"Area actually reporting","violent_crime",1805
"32",2016,"CALIFORNIA","Nonmetropolitan counties",554421,1,"Area actually reporting","violent_crime",2104
"33",2016,"CALIFORNIA","State Total",39250017,99,"total","violent_crime",174796
"34",2016,"CALIFORNIA","State Total",1e+05,99,"rate","violent_crime",445.3
"35",2016,"COLORADO","Metropolitan Statistical Area",4845078,0.999,"Area actually reporting","violent_crime",17870
"36",2016,"COLORADO","Metropolitan Statistical Area",4845078,1,"Estimated total","violent_crime",17882
"37",2016,"COLORADO","Cities outside metropolitan areas",337897,0.919,"Area actually reporting","violent_crime",641
"38",2016,"COLORADO","Cities outside metropolitan areas",337897,1,"Estimated total","violent_crime",697
"39",2016,"COLORADO","Nonmetropolitan counties",357570,0.986,"Area actually reporting","violent_crime",399
"40",2016,"COLORADO","Nonmetropolitan counties",357570,1,"Estimated total","violent_crime",404
"41",2016,"COLORADO","State Total",5540545,99,"total","violent_crime",18983
"42",2016,"COLORADO","State Total",1e+05,99,"rate","violent_crime",342.6
"43",2016,"CONNECTICUT","Metropolitan Statistical Area",2961626,1,"Area actually reporting","violent_crime",7706
"44",2016,"CONNECTICUT","Cities outside metropolitan areas",113580,1,"Area actually reporting","violent_crime",135
"45",2016,"CONNECTICUT","Nonmetropolitan counties",501246,1,"Area actually reporting","violent_crime",282
"46",2016,"CONNECTICUT","State Total",3576452,99,"total","violent_crime",8123
"47",2016,"CONNECTICUT","State Total",1e+05,99,"rate","violent_crime",227.1
"48",2016,"DELAWARE","Metropolitan Statistical Area",952065,1,"Area actually reporting","violent_crime",4843
"49",2016,"DELAWARE","Nonmetropolitan counties",0,1,"Area actually reporting","violent_crime",1
"50",2016,"DELAWARE","State Total",952065,99,"total","violent_crime",4844
"51",2016,"DELAWARE","State Total",1e+05,99,"rate","violent_crime",508.8
"52",2016,"DISTRICT OF COLUMBIA","Metropolitan Statistical Area",681170,1,"Area actually reporting","violent_crime",8214
"53",2016,"DISTRICT OF COLUMBIA","Total",681170,99,"total","violent_crime",8214
"54",2016,"DISTRICT OF COLUMBIA","Total",1e+05,99,"rate","violent_crime",1205.9
"55",2016,"FLORIDA","Metropolitan Statistical Area",19905117,0.998,"Area actually reporting","violent_crime",85184
"56",2016,"FLORIDA","Metropolitan Statistical Area",19905117,1,"Estimated total","violent_crime",85327
"57",2016,"FLORIDA","Cities outside metropolitan areas",146572,0.943,"Area actually reporting","violent_crime",929
"58",2016,"FLORIDA","Cities outside metropolitan areas",146572,1,"Estimated total","violent_crime",985
"59",2016,"FLORIDA","Nonmetropolitan counties",560750,1,"Area actually reporting","violent_crime",2388
"60",2016,"FLORIDA","State Total",20612439,99,"total","violent_crime",88700
"61",2016,"FLORIDA","State Total",1e+05,99,"rate","violent_crime",430.3
"62",2016,"GEORGIA","Metropolitan Statistical Area",8537584,0.995,"Area actually reporting","violent_crime",35058
"63",2016,"GEORGIA","Metropolitan Statistical Area",8537584,1,"Estimated total","violent_crime",35206
"64",2016,"GEORGIA","Cities outside metropolitan areas",644378,0.894,"Area actually reporting","violent_crime",2807
"65",2016,"GEORGIA","Cities outside metropolitan areas",644378,1,"Estimated total","violent_crime",3132
"66",2016,"GEORGIA","Nonmetropolitan counties",1128409,0.93,"Area actually reporting","violent_crime",2464
"67",2016,"GEORGIA","Nonmetropolitan counties",1128409,1,"Estimated total","violent_crime",2652
"68",2016,"GEORGIA","State Total",10310371,99,"total","violent_crime",40990
"69",2016,"GEORGIA","State Total",1e+05,99,"rate","violent_crime",397.6
"70",2016,"HAWAII","Metropolitan Statistical Area",1160343,1,"Area actually reporting","violent_crime",3781
"71",2016,"HAWAII","Nonmetropolitan counties",268214,1,"Estimated total","violent_crime",636
"72",2016,"HAWAII","State Total",1428557,99,"total","violent_crime",4417
"73",2016,"HAWAII","State Total",1e+05,99,"rate","violent_crime",309.2
"74",2016,"IDAHO","Metropolitan Statistical Area",1127333,1,"Area actually reporting","violent_crime",2775
"75",2016,"IDAHO","Cities outside metropolitan areas",255530,0.991,"Area actually reporting","violent_crime",587
"76",2016,"IDAHO","Cities outside metropolitan areas",255530,1,"Estimated total","violent_crime",592
"77",2016,"IDAHO","Nonmetropolitan counties",300277,1,"Area actually reporting","violent_crime",509
"78",2016,"IDAHO","State Total",1683140,99,"total","violent_crime",3876
"79",2016,"IDAHO","State Total",1e+05,99,"rate","violent_crime",230.3
"80",2016,"ILLINOIS","Metropolitan Statistical Area",11329203,0.974,"Area actually reporting","violent_crime",51812
"81",2016,"ILLINOIS","Metropolitan Statistical Area",11329203,1,"Estimated total","violent_crime",52414
"82",2016,"ILLINOIS","Cities outside metropolitan areas",829170,0.842,"Area actually reporting","violent_crime",2032
"83",2016,"ILLINOIS","Cities outside metropolitan areas",829170,1,"Estimated total","violent_crime",2399
"84",2016,"ILLINOIS","Nonmetropolitan counties",643166,0.886,"Area actually reporting","violent_crime",923
"85",2016,"ILLINOIS","Nonmetropolitan counties",643166,1,"Estimated total","violent_crime",1041
"86",2016,"ILLINOIS","State Total",12801539,99,"total","violent_crime",55854
"87",2016,"ILLINOIS","State Total",1e+05,99,"rate","violent_crime",436.3
"88",2016,"INDIANA","Metropolitan Statistical Area",5169542,0.84,"Area actually reporting","violent_crime",22873
"89",2016,"INDIANA","Metropolitan Statistical Area",5169542,1,"Estimated total","violent_crime",24435
"90",2016,"INDIANA","Cities outside metropolitan areas",522889,0.627,"Area actually reporting","violent_crime",774
"91",2016,"INDIANA","Cities outside metropolitan areas",522889,1,"Estimated total","violent_crime",1236
"92",2016,"INDIANA","Nonmetropolitan counties",940622,0.6,"Area actually reporting","violent_crime",694
"93",2016,"INDIANA","Nonmetropolitan counties",940622,1,"Estimated total","violent_crime",1174
"94",2016,"INDIANA","State Total",6633053,99,"total","violent_crime",26845
"95",2016,"INDIANA","State Total",1e+05,99,"rate","violent_crime",404.7
"96",2016,"IOWA","Metropolitan Statistical Area",1857824,0.988,"Area actually reporting","violent_crime",6150
"97",2016,"IOWA","Metropolitan Statistical Area",1857824,1,"Estimated total","violent_crime",6192
"98",2016,"IOWA","Cities outside metropolitan areas",595688,0.974,"Area actually reporting","violent_crime",2094
"99",2016,"IOWA","Cities outside metropolitan areas",595688,1,"Estimated total","violent_crime",2151
"100",2016,"IOWA","Nonmetropolitan counties",681181,0.975,"Area actually reporting","violent_crime",748
"101",2016,"IOWA","Nonmetropolitan counties",681181,1,"Estimated total","violent_crime",767
"102",2016,"IOWA","State Total",3134693,99,"total","violent_crime",9110
"103",2016,"IOWA","State Total",1e+05,99,"rate","violent_crime",290.6
"104",2016,"KANSAS","Metropolitan Statistical Area",1970971,0.979,"Area actually reporting","violent_crime",8227
"105",2016,"KANSAS","Metropolitan Statistical Area",1970971,1,"Estimated total","violent_crime",8310
"106",2016,"KANSAS","Cities outside metropolitan areas",605300,0.953,"Area actually reporting","violent_crime",1973
"107",2016,"KANSAS","Cities outside metropolitan areas",605300,1,"Estimated total","violent_crime",2068
"108",2016,"KANSAS","Nonmetropolitan counties",331018,0.928,"Area actually reporting","violent_crime",633
"109",2016,"KANSAS","Nonmetropolitan counties",331018,1,"Estimated total","violent_crime",682
"110",2016,"KANSAS","State Total",2907289,99,"total","violent_crime",11060
"111",2016,"KANSAS","State Total",1e+05,99,"rate","violent_crime",380.4
"112",2016,"KENTUCKY","Metropolitan Statistical Area",2604116,1,"Area actually reporting","violent_crime",7859
"113",2016,"KENTUCKY","Cities outside metropolitan areas",538773,1,"Area actually reporting","violent_crime",959
"114",2016,"KENTUCKY","Nonmetropolitan counties",1294085,1,"Area actually reporting","violent_crime",1490
"115",2016,"KENTUCKY","State Total",4436974,99,"total","violent_crime",10308
"116",2016,"KENTUCKY","State Total",1e+05,99,"rate","violent_crime",232.3
"117",2016,"LOUISIANA","Metropolitan Statistical Area",3923928,0.991,"Area actually reporting","violent_crime",22991
"118",2016,"LOUISIANA","Metropolitan Statistical Area",3923928,1,"Estimated total","violent_crime",23135
"119",2016,"LOUISIANA","Cities outside metropolitan areas",248647,0.916,"Area actually reporting","violent_crime",1611
"120",2016,"LOUISIANA","Cities outside metropolitan areas",248647,1,"Estimated total","violent_crime",1758
"121",2016,"LOUISIANA","Nonmetropolitan counties",509091,0.97,"Area actually reporting","violent_crime",1560
"122",2016,"LOUISIANA","Nonmetropolitan counties",509091,1,"Estimated total","violent_crime",1609
"123",2016,"LOUISIANA","State Total",4681666,99,"total","violent_crime",26502
"124",2016,"LOUISIANA","State Total",1e+05,99,"rate","violent_crime",566.1
"125",2016,"MAINE","Metropolitan Statistical Area",789447,1,"Area actually reporting","violent_crime",1003
"126",2016,"MAINE","Cities outside metropolitan areas",258813,1,"Area actually reporting","violent_crime",396
"127",2016,"MAINE","Nonmetropolitan counties",283219,1,"Area actually reporting","violent_crime",249
"128",2016,"MAINE","State Total",1331479,99,"total","violent_crime",1648
"129",2016,"MAINE","State Total",1e+05,99,"rate","violent_crime",123.8
"130",2016,"MARYLAND","Metropolitan Statistical Area",5866031,0.881,"Area actually reporting","violent_crime",25972
"131",2016,"MARYLAND","Metropolitan Statistical Area",5866031,1,"Estimated total","violent_crime",28003
"132",2016,"MARYLAND","Cities outside metropolitan areas",52622,1,"Area actually reporting","violent_crime",246
"133",2016,"MARYLAND","Nonmetropolitan counties",97794,1,"Area actually reporting","violent_crime",151
"134",2016,"MARYLAND","State Total",6016447,99,"total","violent_crime",28400
"135",2016,"MARYLAND","State Total",1e+05,99,"rate","violent_crime",472
"136",2016,"MASSACHUSETTS","Metropolitan Statistical Area",6713214,0.976,"Area actually reporting","violent_crime",24834
"137",2016,"MASSACHUSETTS","Metropolitan Statistical Area",6713214,1,"Estimated total","violent_crime",25319
"138",2016,"MASSACHUSETTS","Cities outside metropolitan areas",91574,0.849,"Area actually reporting","violent_crime",300
"139",2016,"MASSACHUSETTS","Cities outside metropolitan areas",91574,1,"Estimated total","violent_crime",353
"140",2016,"MASSACHUSETTS","Nonmetropolitan counties",6991,1,"Area actually reporting","violent_crime",5
"141",2016,"MASSACHUSETTS","State Total",6811779,99,"total","violent_crime",25677
"142",2016,"MASSACHUSETTS","State Total",1e+05,99,"rate","violent_crime",376.9
"143",2016,"MICHIGAN","Metropolitan Statistical Area",8132404,0.998,"Area actually reporting","violent_crime",40537
"144",2016,"MICHIGAN","Metropolitan Statistical Area",8132404,1,"Estimated total","violent_crime",40579
"145",2016,"MICHIGAN","Cities outside metropolitan areas",596485,0.916,"Area actually reporting","violent_crime",1474
"146",2016,"MICHIGAN","Cities outside metropolitan areas",596485,1,"Estimated total","violent_crime",1611
"147",2016,"MICHIGAN","Nonmetropolitan counties",1199411,0.987,"Area actually reporting","violent_crime",3339
"148",2016,"MICHIGAN","Nonmetropolitan counties",1199411,1,"Estimated total","violent_crime",3382
"149",2016,"MICHIGAN","State Total",9928300,99,"total","violent_crime",45572
"150",2016,"MICHIGAN","State Total",1e+05,99,"rate","violent_crime",459
"151",2016,"MINNESOTA","Metropolitan Statistical Area",4285006,1,"Area actually reporting","violent_crime",11636
"152",2016,"MINNESOTA","Cities outside metropolitan areas",536351,1,"Area actually reporting","violent_crime",1071
"153",2016,"MINNESOTA","Nonmetropolitan counties",698595,1,"Area actually reporting","violent_crime",687
"154",2016,"MINNESOTA","State Total",5519952,99,"total","violent_crime",13394
"155",2016,"MINNESOTA","State Total",1e+05,99,"rate","violent_crime",242.6
"156",2016,"MISSISSIPPI","Metropolitan Statistical Area",1377735,0.817,"Area actually reporting","violent_crime",3304
"157",2016,"MISSISSIPPI","Metropolitan Statistical Area",1377735,1,"Estimated total","violent_crime",3732
"158",2016,"MISSISSIPPI","Cities outside metropolitan areas",582351,0.454,"Area actually reporting","violent_crime",1171
"159",2016,"MISSISSIPPI","Cities outside metropolitan areas",582351,1,"Estimated total","violent_crime",2602
"160",2016,"MISSISSIPPI","Nonmetropolitan counties",1028640,0.363,"Area actually reporting","violent_crime",718
"161",2016,"MISSISSIPPI","Nonmetropolitan counties",1028640,1,"Estimated total","violent_crime",2049
"162",2016,"MISSISSIPPI","State Total",2988726,99,"total","violent_crime",8383
"163",2016,"MISSISSIPPI","State Total",1e+05,99,"rate","violent_crime",280.5
"164",2016,"MISSOURI","Metropolitan Statistical Area",4549686,0.999,"Area actually reporting","violent_crime",26940
"165",2016,"MISSOURI","Metropolitan Statistical Area",4549686,1,"Estimated total","violent_crime",26941
"166",2016,"MISSOURI","Cities outside metropolitan areas",660363,0.993,"Area actually reporting","violent_crime",2434
"167",2016,"MISSOURI","Cities outside metropolitan areas",660363,1,"Estimated total","violent_crime",2450
"168",2016,"MISSOURI","Nonmetropolitan counties",882951,1,"Area actually reporting","violent_crime",2253
"169",2016,"MISSOURI","State Total",6093000,99,"total","violent_crime",31644
"170",2016,"MISSOURI","State Total",1e+05,99,"rate","violent_crime",519.4
"171",2016,"MONTANA","Metropolitan Statistical Area",367953,0.999,"Area actually reporting","violent_crime",1306
"172",2016,"MONTANA","Metropolitan Statistical Area",367953,1,"Estimated total","violent_crime",1307
