"Title: Distribution of Nonelderly Population by Household Employment Status | KFF"
"Timeframe: 2019"
"Location","At Least 1 Full Time Worker",Footnotes
"United States","0.807","1"
"Alabama","0.773"
"Alaska","0.764"
"Arizona","0.789"
"Arkansas","0.780"
"California","0.807"
"Colorado","0.830"
"Connecticut","0.808"
"Delaware","0.800"
"District of Columbia","0.764"
"Florida","0.795"
"Georgia","0.810"
"Hawaii","0.799"
"Idaho","0.824"
"Illinois","0.824"
"Indiana","0.805"
"Iowa","0.832"
"Kansas","0.836"
"Kentucky","0.764"
"Louisiana","0.750"
"Maine","0.784"
"Maryland","0.839"
"Massachusetts","0.820"
"Michigan","0.787"
"Minnesota","0.836"
"Mississippi","0.742"
"Missouri","0.803"
"Montana","0.785"
"Nebraska","0.860"
"Nevada","0.804"
"New Hampshire","0.832"
"New Jersey","0.851"
"New Mexico","0.746"
"New York","0.796"
"North Carolina","0.795"
"North Dakota","0.839"
"Ohio","0.799"
"Oklahoma","0.796"
"Oregon","0.775"
"Pennsylvania","0.807"
"Rhode Island","0.811"
"South Carolina","0.783"
"South Dakota","0.847"
"Tennessee","0.798"
"Texas","0.827"
"Utah","0.856"
"Vermont","0.785"
"Virginia","0.827"
"Washington","0.808"
"West Virginia","0.731"
"Wisconsin","0.831"
"Wyoming","0.835"

"Notes"
"Percentages may not sum to 100% due to rounding."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Full Time Workers*: Individuals who work 35 hours per week or more."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
