"Title: Distribution of Nonelderly Population by Household Employment Status | KFF"
"Timeframe: 2014"
"Location","At Least 1 Full Time Worker",Footnotes
"United States","0.805","1"
"Alabama","0.760"
"Alaska","0.821"
"Arizona","0.791"
"Arkansas","0.777"
"California","0.801"
"Colorado","0.833"
"Connecticut","0.825"
"Delaware","0.814"
"District of Columbia","0.790"
"Florida","0.786"
"Georgia","0.788"
"Hawaii","0.809"
"Idaho","0.819"
"Illinois","0.816"
"Indiana","0.806"
"Iowa","0.851"
"Kansas","0.840"
"Kentucky","0.749"
"Louisiana","0.773"
"Maine","0.789"
"Maryland","0.852"
"Massachusetts","0.821"
"Michigan","0.769"
"Minnesota","0.855"
"Mississippi","0.742"
"Missouri","0.794"
"Montana","0.784"
"Nebraska","0.871"
"Nevada","0.798"
"New Hampshire","0.851"
"New Jersey","0.851"
"New Mexico","0.757"
"New York","0.806"
"North Carolina","0.781"
"North Dakota","0.852"
"Ohio","0.792"
"Oklahoma","0.811"
"Oregon","0.779"
"Pennsylvania","0.808"
"Rhode Island","0.798"
"South Carolina","0.773"
"South Dakota","0.848"
"Tennessee","0.776"
"Texas","0.830"
"Utah","0.865"
"Vermont","0.818"
"Virginia","0.826"
"Washington","0.809"
"West Virginia","0.734"
"Wisconsin","0.827"
"Wyoming","0.868"

"Notes"
"Percentages may not sum to 100% due to rounding."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Full Time Workers*: Individuals who work 35 hours per week or more."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
