"Title: Distribution of Nonelderly Population by Household Employment Status | KFF"
"Timeframe: 2012"
"Location","At Least 1 Full Time Worker",Footnotes
"United States","0.793","1"
"Alabama","0.748"
"Alaska","0.785"
"Arizona","0.775"
"Arkansas","0.775"
"California","0.784"
"Colorado","0.824"
"Connecticut","0.815"
"Delaware","0.808"
"District of Columbia","0.773"
"Florida","0.769"
"Georgia","0.767"
"Hawaii","0.789"
"Idaho","0.804"
"Illinois","0.806"
"Indiana","0.801"
"Iowa","0.845"
"Kansas","0.837"
"Kentucky","0.741"
"Louisiana","0.760"
"Maine","0.769"
"Maryland","0.845"
"Massachusetts","0.803"
"Michigan","0.743"
"Minnesota","0.838"
"Mississippi","0.726"
"Missouri","0.791"
"Montana","0.791"
"Nebraska","0.872"
"Nevada","0.782"
"New Hampshire","0.847"
"New Jersey","0.838"
"New Mexico","0.745"
"New York","0.797"
"North Carolina","0.767"
"North Dakota","0.867"
"Ohio","0.780"
"Oklahoma","0.802"
"Oregon","0.753"
"Pennsylvania","0.795"
"Rhode Island","0.793"
"South Carolina","0.749"
"South Dakota","0.843"
"Tennessee","0.768"
"Texas","0.820"
"Utah","0.843"
"Vermont","0.814"
"Virginia","0.828"
"Washington","0.791"
"West Virginia","0.734"
"Wisconsin","0.816"
"Wyoming","0.849"

"Notes"
"Percentages may not sum to 100% due to rounding."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Full Time Workers*: Individuals who work 35 hours per week or more."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
