"Title: Distribution of Nonelderly Population by Household Employment Status | KFF"
"Timeframe: 2018"
"Location","At Least 1 Full Time Worker",Footnotes
"United States","0.804","1"
"Alabama","0.759"
"Alaska","0.764"
"Arizona","0.789"
"Arkansas","0.767"
"California","0.802"
"Colorado","0.827"
"Connecticut","0.818"
"Delaware","0.813"
"District of Columbia","0.769"
"Florida","0.790"
"Georgia","0.807"
"Hawaii","0.786"
"Idaho","0.801"
"Illinois","0.817"
"Indiana","0.814"
"Iowa","0.838"
"Kansas","0.834"
"Kentucky","0.754"
"Louisiana","0.750"
"Maine","0.788"
"Maryland","0.844"
"Massachusetts","0.812"
"Michigan","0.778"
"Minnesota","0.838"
"Mississippi","0.752"
"Missouri","0.802"
"Montana","0.787"
"Nebraska","0.849"
"Nevada","0.792"
"New Hampshire","0.837"
"New Jersey","0.852"
"New Mexico","0.731"
"New York","0.794"
"North Carolina","0.794"
"North Dakota","0.847"
"Ohio","0.794"
"Oklahoma","0.796"
"Oregon","0.786"
"Pennsylvania","0.811"
"Rhode Island","0.789"
"South Carolina","0.785"
"South Dakota","0.817"
"Tennessee","0.784"
"Texas","0.827"
"Utah","0.854"
"Vermont","0.797"
"Virginia","0.823"
"Washington","0.805"
"West Virginia","0.719"
"Wisconsin","0.827"
"Wyoming","0.832"

"Notes"
"Percentages may not sum to 100% due to rounding."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Full Time Workers*: Individuals who work 35 hours per week or more."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
