"Title: Distribution of Nonelderly Population by Household Employment Status | KFF"
"Timeframe: 2016"
"Location","At Least 1 Full Time Worker",Footnotes
"United States","0.819","1"
"Alabama","0.770"
"Alaska","0.781"
"Arizona","0.800"
"Arkansas","0.789"
"California","0.820"
"Colorado","0.846"
"Connecticut","0.837"
"Delaware","0.834"
"District of Columbia","0.771"
"Florida","0.803"
"Georgia","0.810"
"Hawaii","0.823"
"Idaho","0.838"
"Illinois","0.827"
"Indiana","0.824"
"Iowa","0.862"
"Kansas","0.863"
"Kentucky","0.764"
"Louisiana","0.761"
"Maine","0.795"
"Maryland","0.860"
"Massachusetts","0.830"
"Michigan","0.794"
"Minnesota","0.867"
"Mississippi","0.755"
"Missouri","0.823"
"Montana","0.798"
"Nebraska","0.879"
"Nevada","0.817"
"New Hampshire","0.875"
"New Jersey","0.858"
"New Mexico","0.756"
"New York","0.817"
"North Carolina","0.797"
"North Dakota","0.855"
"Ohio","0.808"
"Oklahoma","0.809"
"Oregon","0.811"
"Pennsylvania","0.819"
"Rhode Island","0.799"
"South Carolina","0.794"
"South Dakota","0.849"
"Tennessee","0.798"
"Texas","0.839"
"Utah","0.871"
"Vermont","0.841"
"Virginia","0.836"
"Washington","0.827"
"West Virginia","0.743"
"Wisconsin","0.841"
"Wyoming","0.839"

"Notes"
"Percentages may not sum to 100% due to rounding."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Full Time Workers*: Individuals who work 35 hours per week or more."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
