"Title: Distribution of Nonelderly Population by Household Employment Status | KFF"
"Timeframe: 2015"
"Location","At Least 1 Full Time Worker",Footnotes
"United States","0.813","1"
"Alabama","0.763"
"Alaska","0.792"
"Arizona","0.799"
"Arkansas","0.779"
"California","0.813"
"Colorado","0.843"
"Connecticut","0.830"
"Delaware","0.813"
"District of Columbia","0.781"
"Florida","0.796"
"Georgia","0.801"
"Hawaii","0.818"
"Idaho","0.821"
"Illinois","0.821"
"Indiana","0.818"
"Iowa","0.852"
"Kansas","0.848"
"Kentucky","0.762"
"Louisiana","0.769"
"Maine","0.799"
"Maryland","0.853"
"Massachusetts","0.822"
"Michigan","0.778"
"Minnesota","0.856"
"Mississippi","0.747"
"Missouri","0.816"
"Montana","0.808"
"Nebraska","0.868"
"Nevada","0.795"
"New Hampshire","0.864"
"New Jersey","0.850"
"New Mexico","0.751"
"New York","0.813"
"North Carolina","0.794"
"North Dakota","0.855"
"Ohio","0.796"
"Oklahoma","0.814"
"Oregon","0.797"
"Pennsylvania","0.817"
"Rhode Island","0.803"
"South Carolina","0.779"
"South Dakota","0.837"
"Tennessee","0.792"
"Texas","0.839"
"Utah","0.864"
"Vermont","0.832"
"Virginia","0.831"
"Washington","0.819"
"West Virginia","0.738"
"Wisconsin","0.842"
"Wyoming","0.862"

"Notes"
"Percentages may not sum to 100% due to rounding."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Full Time Workers*: Individuals who work 35 hours per week or more."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
