"Title: Distribution of Nonelderly Population by Household Employment Status | KFF"
"Timeframe: 2017"
"Location","At Least 1 Full Time Worker",Footnotes
"United States","0.798","1"
"Alabama","0.750"
"Alaska","0.779"
"Arizona","0.786"
"Arkansas","0.773"
"California","0.795"
"Colorado","0.824"
"Connecticut","0.809"
"Delaware","0.787"
"District of Columbia","0.747"
"Florida","0.778"
"Georgia","0.797"
"Hawaii","0.796"
"Idaho","0.812"
"Illinois","0.808"
"Indiana","0.803"
"Iowa","0.838"
"Kansas","0.833"
"Kentucky","0.753"
"Louisiana","0.746"
"Maine","0.778"
"Maryland","0.836"
"Massachusetts","0.804"
"Michigan","0.774"
"Minnesota","0.839"
"Mississippi","0.740"
"Missouri","0.795"
"Montana","0.789"
"Nebraska","0.848"
"Nevada","0.788"
"New Hampshire","0.839"
"New Jersey","0.845"
"New Mexico","0.727"
"New York","0.795"
"North Carolina","0.784"
"North Dakota","0.854"
"Ohio","0.785"
"Oklahoma","0.783"
"Oregon","0.773"
"Pennsylvania","0.799"
"Rhode Island","0.808"
"South Carolina","0.775"
"South Dakota","0.831"
"Tennessee","0.790"
"Texas","0.823"
"Utah","0.853"
"Vermont","0.797"
"Virginia","0.818"
"Washington","0.800"
"West Virginia","0.702"
"Wisconsin","0.820"
"Wyoming","0.818"

"Notes"
"Percentages may not sum to 100% due to rounding."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Full Time Workers*: Individuals who work 35 hours per week or more."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
