"Title: Population Distribution by Sex | KFF"
"Timeframe: 2015"
"Location","Male",Footnotes
"United States","0.489","1"
"Alabama","0.481"
"Alaska","0.514"
"Arizona","0.490"
"Arkansas","0.486"
"California","0.493"
"Colorado","0.498"
"Connecticut","0.487"
"Delaware","0.479"
"District of Columbia","0.475"
"Florida","0.484"
"Georgia","0.482"
"Hawaii","0.490"
"Idaho","0.497"
"Illinois","0.487"
"Indiana","0.490"
"Iowa","0.495"
"Kansas","0.493"
"Kentucky","0.489"
"Louisiana","0.483"
"Maine","0.489"
"Maryland","0.480"
"Massachusetts","0.485"
"Michigan","0.489"
"Minnesota","0.497"
"Mississippi","0.478"
"Missouri","0.488"
"Montana","0.502"
"Nebraska","0.496"
"Nevada","0.497"
"New Hampshire","0.495"
"New Jersey","0.486"
"New Mexico","0.492"
"New York","0.484"
"North Carolina","0.483"
"North Dakota","0.509"
"Ohio","0.488"
"Oklahoma","0.491"
"Oregon","0.492"
"Pennsylvania","0.486"
"Rhode Island","0.484"
"South Carolina","0.482"
"South Dakota","0.501"
"Tennessee","0.484"
"Texas","0.491"
"Utah","0.502"
"Vermont","0.494"
"Virginia","0.483"
"Washington","0.497"
"West Virginia","0.490"
"Wisconsin","0.495"
"Wyoming","0.495"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
"   "
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
