"Title: Population Distribution by Sex | KFF"
"Timeframe: 2011"
"Location","Male",Footnotes
"United States","0.488","1"
"Alabama","0.478"
"Alaska","0.507"
"Arizona","0.492"
"Arkansas","0.491"
"California","0.494"
"Colorado","0.497"
"Connecticut","0.485"
"Delaware","0.480"
"District of Columbia","0.474"
"Florida","0.485"
"Georgia","0.484"
"Hawaii","0.487"
"Idaho","0.500"
"Illinois","0.488"
"Indiana","0.490"
"Iowa","0.494"
"Kansas","0.493"
"Kentucky","0.488"
"Louisiana","0.483"
"Maine","0.487"
"Maryland","0.480"
"Massachusetts","0.484"
"Michigan","0.488"
"Minnesota","0.495"
"Mississippi","0.482"
"Missouri","0.487"
"Montana","0.500"
"Nebraska","0.495"
"Nevada","0.500"
"New Hampshire","0.495"
"New Jersey","0.485"
"New Mexico","0.491"
"New York","0.482"
"North Carolina","0.480"
"North Dakota","0.502"
"Ohio","0.487"
"Oklahoma","0.490"
"Oregon","0.492"
"Pennsylvania","0.485"
"Rhode Island","0.482"
"South Carolina","0.480"
"South Dakota","0.495"
"Tennessee","0.484"
"Texas","0.491"
"Utah","0.501"
"Vermont","0.491"
"Virginia","0.485"
"Washington","0.494"
"West Virginia","0.491"
"Wisconsin","0.494"
"Wyoming","0.505"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
"   "
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
