"Title: Population Distribution by Sex | KFF"
"Timeframe: 2017"
"Location","Male",Footnotes
"United States","0.489","1"
"Alabama","0.482"
"Alaska","0.513"
"Arizona","0.492"
"Arkansas","0.489"
"California","0.494"
"Colorado","0.499"
"Connecticut","0.486"
"Delaware","0.481"
"District of Columbia","0.471"
"Florida","0.485"
"Georgia","0.481"
"Hawaii","0.488"
"Idaho","0.501"
"Illinois","0.489"
"Indiana","0.490"
"Iowa","0.493"
"Kansas","0.495"
"Kentucky","0.491"
"Louisiana","0.482"
"Maine","0.489"
"Maryland","0.482"
"Massachusetts","0.486"
"Michigan","0.490"
"Minnesota","0.496"
"Mississippi","0.480"
"Missouri","0.488"
"Montana","0.496"
"Nebraska","0.498"
"Nevada","0.497"
"New Hampshire","0.496"
"New Jersey","0.486"
"New Mexico","0.493"
"New York","0.484"
"North Carolina","0.482"
"North Dakota","0.510"
"Ohio","0.487"
"Oklahoma","0.489"
"Oregon","0.494"
"Pennsylvania","0.488"
"Rhode Island","0.485"
"South Carolina","0.480"
"South Dakota","0.502"
"Tennessee","0.484"
"Texas","0.492"
"Utah","0.502"
"Vermont","0.493"
"Virginia","0.484"
"Washington","0.496"
"West Virginia","0.490"
"Wisconsin","0.495"
"Wyoming","0.509"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
"   "
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
