"Title: Population Distribution by Sex | KFF"
"Timeframe: 2018"
"Location","Male",Footnotes
"United States","0.489","1"
"Alabama","0.481"
"Alaska","0.503"
"Arizona","0.492"
"Arkansas","0.486"
"California","0.494"
"Colorado","0.498"
"Connecticut","0.485"
"Delaware","0.479"
"District of Columbia","0.472"
"Florida","0.484"
"Georgia","0.481"
"Hawaii","0.490"
"Idaho","0.499"
"Illinois","0.490"
"Indiana","0.489"
"Iowa","0.496"
"Kansas","0.495"
"Kentucky","0.487"
"Louisiana","0.482"
"Maine","0.485"
"Maryland","0.481"
"Massachusetts","0.486"
"Michigan","0.490"
"Minnesota","0.499"
"Mississippi","0.478"
"Missouri","0.487"
"Montana","0.505"
"Nebraska","0.496"
"Nevada","0.498"
"New Hampshire","0.494"
"New Jersey","0.486"
"New Mexico","0.491"
"New York","0.484"
"North Carolina","0.481"
"North Dakota","0.509"
"Ohio","0.489"
"Oklahoma","0.490"
"Oregon","0.494"
"Pennsylvania","0.487"
"Rhode Island","0.486"
"South Carolina","0.480"
"South Dakota","0.501"
"Tennessee","0.485"
"Texas","0.492"
"Utah","0.503"
"Vermont","0.494"
"Virginia","0.485"
"Washington","0.497"
"West Virginia","0.493"
"Wisconsin","0.495"
"Wyoming","0.504"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
"   "
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
