"Title: Population Distribution by Sex | KFF"
"Timeframe: 2014"
"Location","Male",Footnotes
"United States","0.489","1"
"Alabama","0.482"
"Alaska","0.517"
"Arizona","0.490"
"Arkansas","0.487"
"California","0.493"
"Colorado","0.498"
"Connecticut","0.486"
"Delaware","0.482"
"District of Columbia","0.474"
"Florida","0.485"
"Georgia","0.482"
"Hawaii","0.491"
"Idaho","0.496"
"Illinois","0.488"
"Indiana","0.490"
"Iowa","0.497"
"Kansas","0.491"
"Kentucky","0.491"
"Louisiana","0.482"
"Maine","0.482"
"Maryland","0.482"
"Massachusetts","0.485"
"Michigan","0.489"
"Minnesota","0.495"
"Mississippi","0.481"
"Missouri","0.487"
"Montana","0.496"
"Nebraska","0.498"
"Nevada","0.499"
"New Hampshire","0.493"
"New Jersey","0.487"
"New Mexico","0.489"
"New York","0.484"
"North Carolina","0.481"
"North Dakota","0.508"
"Ohio","0.488"
"Oklahoma","0.489"
"Oregon","0.492"
"Pennsylvania","0.487"
"Rhode Island","0.484"
"South Carolina","0.481"
"South Dakota","0.500"
"Tennessee","0.484"
"Texas","0.491"
"Utah","0.500"
"Vermont","0.487"
"Virginia","0.484"
"Washington","0.497"
"West Virginia","0.492"
"Wisconsin","0.494"
"Wyoming","0.507"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
"   "
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
