"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2016"
"Location","White",Footnotes
"United States","0.612","1"
"Alabama","0.660"
"Alaska","0.614"
"Arizona","0.555"
"Arkansas","0.730"
"California","0.375"
"Colorado","0.687"
"Connecticut","0.676"
"Delaware","0.630"
"District of Columbia","0.359"
"Florida","0.547"
"Georgia","0.534"
"Hawaii","0.211"
"Idaho","0.825"
"Illinois","0.618"
"Indiana","0.798"
"Iowa","0.866"
"Kansas","0.765"
"Kentucky","0.852"
"Louisiana","0.594"
"Maine","0.936"
"Maryland","0.514"
"Massachusetts","0.726"
"Michigan","0.756"
"Minnesota","0.807"
"Mississippi","0.572"
"Missouri","0.798"
"Montana","0.866"
"Nebraska","0.800"
"Nevada","0.499"
"New Hampshire","0.911"
"New Jersey","0.557"
"New Mexico","0.379"
"New York","0.556"
"North Carolina","0.636"
"North Dakota","0.854"
"Ohio","0.796"
"Oklahoma","0.663"
"Oregon","0.763"
"Pennsylvania","0.773"
"Rhode Island","0.728"
"South Carolina","0.640"
"South Dakota","0.827"
"Tennessee","0.744"
"Texas","0.425"
"Utah","0.788"
"Vermont","0.935"
"Virginia","0.623"
"Washington","0.695"
"West Virginia","0.924"
"Wisconsin","0.819"
"Wyoming","0.847"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
