"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2015"
"Location","White",Footnotes
"United States","0.616","1"
"Alabama","0.662"
"Alaska","0.615"
"Arizona","0.558"
"Arkansas","0.731"
"California","0.378"
"Colorado","0.686"
"Connecticut","0.680"
"Delaware","0.632"
"District of Columbia","0.355"
"Florida","0.552"
"Georgia","0.540"
"Hawaii","0.217"
"Idaho","0.828"
"Illinois","0.619"
"Indiana","0.801"
"Iowa","0.869"
"Kansas","0.765"
"Kentucky","0.855"
"Louisiana","0.594"
"Maine","0.937"
"Maryland","0.519"
"Massachusetts","0.731"
"Michigan","0.757"
"Minnesota","0.811"
"Mississippi","0.573"
"Missouri","0.802"
"Montana","0.869"
"Nebraska","0.802"
"Nevada","0.506"
"New Hampshire","0.913"
"New Jersey","0.562"
"New Mexico","0.383"
"New York","0.559"
"North Carolina","0.638"
"North Dakota","0.862"
"Ohio","0.799"
"Oklahoma","0.667"
"Oregon","0.767"
"Pennsylvania","0.776"
"Rhode Island","0.733"
"South Carolina","0.640"
"South Dakota","0.829"
"Tennessee","0.745"
"Texas","0.430"
"Utah","0.790"
"Vermont","0.936"
"Virginia","0.628"
"Washington","0.699"
"West Virginia","0.928"
"Wisconsin","0.821"
"Wyoming","0.843"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
