"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2012"
"Location","White",Footnotes
"United States","0.630","1"
"Alabama","0.670"
"Alaska","0.632"
"Arizona","0.572"
"Arkansas","0.742"
"California","0.392"
"Colorado","0.697"
"Connecticut","0.702"
"Delaware","0.645"
"District of Columbia","0.348"
"Florida","0.569"
"Georgia","0.553"
"Hawaii","0.217"
"Idaho","0.836"
"Illinois","0.630"
"Indiana","0.811"
"Iowa","0.881"
"Kansas","0.778"
"Kentucky","0.863"
"Louisiana","0.601"
"Maine","0.942"
"Maryland","0.539"
"Massachusetts","0.754"
"Michigan","0.764"
"Minnesota","0.824"
"Mississippi","0.579"
"Missouri","0.809"
"Montana","0.872"
"Nebraska","0.815"
"Nevada","0.529"
"New Hampshire","0.919"
"New Jersey","0.581"
"New Mexico","0.398"
"New York","0.574"
"North Carolina","0.647"
"North Dakota","0.884"
"Ohio","0.809"
"Oklahoma","0.681"
"Oregon","0.778"
"Pennsylvania","0.791"
"Rhode Island","0.753"
"South Carolina","0.643"
"South Dakota","0.840"
"Tennessee","0.753"
"Texas","0.444"
"Utah","0.800"
"Vermont","0.943"
"Virginia","0.642"
"Washington","0.717"
"West Virginia","0.933"
"Wisconsin","0.831"
"Wyoming","0.848"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
