"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2011"
"Location","White",Footnotes
"United States","0.634","1"
"Alabama","0.669"
"Alaska","0.633"
"Arizona","0.575"
"Arkansas","0.745"
"California","0.395"
"Colorado","0.699"
"Connecticut","0.709"
"Delaware","0.653"
"District of Columbia","0.343"
"Florida","0.575"
"Georgia","0.557"
"Hawaii","0.219"
"Idaho","0.839"
"Illinois","0.632"
"Indiana","0.814"
"Iowa","0.886"
"Kansas","0.780"
"Kentucky","0.864"
"Louisiana","0.605"
"Maine","0.945"
"Maryland","0.543"
"Massachusetts","0.759"
"Michigan","0.766"
"Minnesota","0.829"
"Mississippi","0.581"
"Missouri","0.811"
"Montana","0.876"
"Nebraska","0.819"
"Nevada","0.535"
"New Hampshire","0.922"
"New Jersey","0.587"
"New Mexico","0.401"
"New York","0.579"
"North Carolina","0.651"
"North Dakota","0.887"
"Ohio","0.812"
"Oklahoma","0.684"
"Oregon","0.780"
"Pennsylvania","0.795"
"Rhode Island","0.761"
"South Carolina","0.642"
"South Dakota","0.846"
"Tennessee","0.756"
"Texas","0.447"
"Utah","0.800"
"Vermont","0.944"
"Virginia","0.646"
"Washington","0.721"
"West Virginia","0.936"
"Wisconsin","0.833"
"Wyoming","0.858"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
