"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2019"
"Location","White",Footnotes
"United States","0.601","1"
"Alabama","0.654"
"Alaska","0.600"
"Arizona","0.542"
"Arkansas","0.721"
"California","0.364"
"Colorado","0.678"
"Connecticut","0.657"
"Delaware","0.614"
"District of Columbia","0.367"
"Florida","0.530"
"Georgia","0.520"
"Hawaii","0.204"
"Idaho","0.816"
"Illinois","0.609"
"Indiana","0.786"
"Iowa","0.853"
"Kansas","0.757"
"Kentucky","0.845"
"Louisiana","0.588"
"Maine","0.932"
"Maryland","0.499"
"Massachusetts","0.705"
"Michigan","0.749"
"Minnesota","0.791"
"Mississippi","0.566"
"Missouri","0.794"
"Montana","0.861"
"Nebraska","0.785"
"Nevada","0.478"
"New Hampshire","0.898"
"New Jersey","0.545"
"New Mexico","0.367"
"New York","0.552"
"North Carolina","0.627"
"North Dakota","0.841"
"Ohio","0.786"
"Oklahoma","0.650"
"Oregon","0.750"
"Pennsylvania","0.760"
"Rhode Island","0.705"
"South Carolina","0.637"
"South Dakota","0.819"
"Tennessee","0.736"
"Texas","0.411"
"Utah","0.778"
"Vermont","0.928"
"Virginia","0.613"
"Washington","0.675"
"West Virginia","0.925"
"Wisconsin","0.811"
"Wyoming","0.838"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
