"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2010"
"Location","White",Footnotes
"United States","0.638","1"
"Alabama","0.674"
"Alaska","0.642"
"Arizona","0.580"
"Arkansas","0.746"
"California","0.400"
"Colorado","0.702"
"Connecticut","0.712"
"Delaware","0.656"
"District of Columbia","0.335"
"Florida","0.579"
"Georgia","0.560"
"Hawaii","0.217"
"Idaho","0.842"
"Illinois","0.637"
"Indiana","0.817"
"Iowa","0.888"
"Kansas","0.783"
"Kentucky","0.868"
"Louisiana","0.607"
"Maine","0.946"
"Maryland","0.548"
"Massachusetts","0.764"
"Michigan","0.767"
"Minnesota","0.832"
"Mississippi","0.584"
"Missouri","0.812"
"Montana","0.880"
"Nebraska","0.824"
"Nevada","0.539"
"New Hampshire","0.921"
"New Jersey","0.594"
"New Mexico","0.405"
"New York","0.582"
"North Carolina","0.654"
"North Dakota","0.893"
"Ohio","0.813"
"Oklahoma","0.688"
"Oregon","0.785"
"Pennsylvania","0.798"
"Rhode Island","0.764"
"South Carolina","0.644"
"South Dakota","0.850"
"Tennessee","0.758"
"Texas","0.452"
"Utah","0.804"
"Vermont","0.945"
"Virginia","0.649"
"Washington","0.727"
"West Virginia","0.936"
"Wisconsin","0.835"
"Wyoming","0.861"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
