"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2017"
"Location","White",Footnotes
"United States","0.607","1"
"Alabama","0.658"
"Alaska","0.610"
"Arizona","0.550"
"Arkansas","0.725"
"California","0.370"
"Colorado","0.683"
"Connecticut","0.667"
"Delaware","0.626"
"District of Columbia","0.360"
"Florida","0.539"
"Georgia","0.529"
"Hawaii","0.207"
"Idaho","0.821"
"Illinois","0.613"
"Indiana","0.794"
"Iowa","0.859"
"Kansas","0.761"
"Kentucky","0.849"
"Louisiana","0.588"
"Maine","0.937"
"Maryland","0.507"
"Massachusetts","0.717"
"Michigan","0.753"
"Minnesota","0.800"
"Mississippi","0.569"
"Missouri","0.797"
"Montana","0.865"
"Nebraska","0.792"
"Nevada","0.489"
"New Hampshire","0.906"
"New Jersey","0.550"
"New Mexico","0.373"
"New York","0.552"
"North Carolina","0.631"
"North Dakota","0.847"
"Ohio","0.792"
"Oklahoma","0.659"
"Oregon","0.758"
"Pennsylvania","0.767"
"Rhode Island","0.722"
"South Carolina","0.640"
"South Dakota","0.825"
"Tennessee","0.741"
"Texas","0.419"
"Utah","0.785"
"Vermont","0.931"
"Virginia","0.619"
"Washington","0.687"
"West Virginia","0.926"
"Wisconsin","0.815"
"Wyoming","0.842"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
