"Title: Population Distribution by Age | KFF"
"Timeframe: 2014"
"Location","Children 0-18",Footnotes
"United States","0.245","1"
"Alabama","0.243"
"Alaska","0.272"
"Arizona","0.255"
"Arkansas","0.256"
"California","0.250"
"Colorado","0.247"
"Connecticut","0.231"
"Delaware","0.234"
"District of Columbia","0.188"
"Florida","0.217"
"Georgia","0.264"
"Hawaii","0.233"
"Idaho","0.278"
"Illinois","0.246"
"Indiana","0.254"
"Iowa","0.248"
"Kansas","0.266"
"Kentucky","0.243"
"Louisiana","0.256"
"Maine","0.204"
"Maryland","0.240"
"Massachusetts","0.221"
"Michigan","0.236"
"Minnesota","0.247"
"Mississippi","0.263"
"Missouri","0.243"
"Montana","0.231"
"Nebraska","0.266"
"Nevada","0.245"
"New Hampshire","0.217"
"New Jersey","0.239"
"New Mexico","0.254"
"New York","0.227"
"North Carolina","0.246"
"North Dakota","0.241"
"Ohio","0.241"
"Oklahoma","0.260"
"Oregon","0.227"
"Pennsylvania","0.225"
"Rhode Island","0.218"
"South Carolina","0.240"
"South Dakota","0.261"
"Tennessee","0.242"
"Texas","0.281"
"Utah","0.324"
"Vermont","0.207"
"Virginia","0.242"
"Washington","0.240"
"West Virginia","0.217"
"Wisconsin","0.238"
"Wyoming","0.248"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
