"Title: Population Distribution by Age | KFF"
"Timeframe: 2011"
"Location","Children 0-18",Footnotes
"United States","0.253","1"
"Alabama","0.251"
"Alaska","0.278"
"Arizona","0.266"
"Arkansas","0.257"
"California","0.262"
"Colorado","0.254"
"Connecticut","0.241"
"Delaware","0.243"
"District of Columbia","0.187"
"Florida","0.224"
"Georgia","0.273"
"Hawaii","0.240"
"Idaho","0.283"
"Illinois","0.256"
"Indiana","0.262"
"Iowa","0.251"
"Kansas","0.269"
"Kentucky","0.250"
"Louisiana","0.263"
"Maine","0.214"
"Maryland","0.246"
"Massachusetts","0.230"
"Michigan","0.246"
"Minnesota","0.254"
"Mississippi","0.271"
"Missouri","0.250"
"Montana","0.234"
"Nebraska","0.264"
"Nevada","0.256"
"New Hampshire","0.227"
"New Jersey","0.246"
"New Mexico","0.267"
"New York","0.234"
"North Carolina","0.256"
"North Dakota","0.237"
"Ohio","0.248"
"Oklahoma","0.266"
"Oregon","0.233"
"Pennsylvania","0.232"
"Rhode Island","0.224"
"South Carolina","0.248"
"South Dakota","0.263"
"Tennessee","0.247"
"Texas","0.290"
"Utah","0.330"
"Vermont","0.213"
"Virginia","0.247"
"Washington","0.245"
"West Virginia","0.220"
"Wisconsin","0.247"
"Wyoming","0.251"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
