"Title: Population Distribution by Age | KFF"
"Timeframe: 2018"
"Location","Children 0-18",Footnotes
"United States","0.238","1"
"Alabama","0.237"
"Alaska","0.270"
"Arizona","0.244"
"Arkansas","0.249"
"California","0.241"
"Colorado","0.238"
"Connecticut","0.222"
"Delaware","0.220"
"District of Columbia","0.195"
"Florida","0.211"
"Georgia","0.256"
"Hawaii","0.230"
"Idaho","0.269"
"Illinois","0.238"
"Indiana","0.248"
"Iowa","0.247"
"Kansas","0.259"
"Kentucky","0.237"
"Louisiana","0.253"
"Maine","0.193"
"Maryland","0.235"
"Massachusetts","0.212"
"Michigan","0.228"
"Minnesota","0.244"
"Mississippi","0.255"
"Missouri","0.237"
"Montana","0.225"
"Nebraska","0.261"
"Nevada","0.237"
"New Hampshire","0.203"
"New Jersey","0.232"
"New Mexico","0.244"
"New York","0.220"
"North Carolina","0.237"
"North Dakota","0.242"
"Ohio","0.235"
"Oklahoma","0.259"
"Oregon","0.218"
"Pennsylvania","0.220"
"Rhode Island","0.205"
"South Carolina","0.234"
"South Dakota","0.258"
"Tennessee","0.237"
"Texas","0.275"
"Utah","0.311"
"Vermont","0.195"
"Virginia","0.236"
"Washington","0.232"
"West Virginia","0.213"
"Wisconsin","0.231"
"Wyoming","0.243"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
