State,PERCENT,Notes
"National Total",7.2000,1
"Median Value",6.9000,
"Alabama (27)",6.7000,
"Alaska (17)",7.5000,
"Arizona (24)",6.9000,
"Arkansas (31)",6.2000,
"California (4)",9.3000,
"Colorado (34)",6.1000,
"Connecticut (19)",7.1000,
"Delaware (31)",6.2000,
"District of Columbia (7)",8.8000,
"Florida (10)",8.1000,
"Georgia (10)",8.1000,
"Hawaii (38)",5.5000,
"Idaho (29)",6.4000,
"Illinois (16)",7.6000,
"Indiana (9)",8.2000,
"Iowa (45)",4.6000,
"Kansas (41)",5.2000,
"Kentucky (14)",7.8000,
"Louisiana (36)",5.9000,
"Maine (22)",7.0000,
"Maryland (37)",5.8000,
"Massachusetts (24)",6.9000,
"Michigan (1)",10.6000,
"Minnesota (24)",6.9000,
"Mississippi (12)",8.0000,
"Missouri (18)",7.3000,
"Montana (39)",5.4000,
"Nebraska (48)",4.0000,
"Nevada (5)",9.1000,
"New Hampshire (45)",4.6000,
"New Jersey (19)",7.1000,
"New Mexico (42)",4.9000,
"New York (22)",7.0000,
"North Carolina (8)",8.7000,
"North Dakota (50)",3.5000,
"Ohio (14)",7.8000,
"Oklahoma (42)",4.9000,
"Oregon (6)",9.0000,
"Pennsylvania (27)",6.7000,
"Rhode Island (2)",10.0000,
"South Carolina (3)",9.5000,
"South Dakota (49)",3.9000,
"Tennessee (13)",7.9000,
"Texas (35)",6.0000,
"Utah (47)",4.3000,
"Vermont (29)",6.4000,
"Virginia (39)",5.4000,
"Washington (19)",7.1000,
"West Virginia (42)",4.9000,
"Wisconsin (31)",6.2000,
"Wyoming (51)",3.4000,

"Unemployment Rate (State) (2008)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 27, 2009)"
Notes:
"1. National Rate = 7.2% of Labor Force Unemployed"
