State,PERCENT,Notes
"National Total",5.3000,1
"Median Value",4.9000,
"Alabama (20)",5.0000,
"Alaska (1)",7.5000,
"Arizona (16)",5.2000,
"Arkansas (16)",5.2000,
"California (5)",6.9000,
"Colorado (43)",3.7000,
"Connecticut (18)",5.1000,
"Delaware (15)",5.4000,
"District of Columbia (2)",7.3000,
"Florida (26)",4.9000,
"Georgia (32)",4.5000,
"Hawaii (9)",6.0000,
"Idaho (20)",5.0000,
"Illinois (20)",5.0000,
"Indiana (45)",3.6000,
"Iowa (46)",3.4000,
"Kansas (38)",4.0000,
"Kentucky (20)",5.0000,
"Louisiana (7)",6.1000,
"Maine (37)",4.2000,
"Maryland (35)",4.4000,
"Massachusetts (41)",3.9000,
"Michigan (28)",4.7000,
"Minnesota (43)",3.7000,
"Mississippi (12)",5.5000,
"Missouri (32)",4.5000,
"Montana (30)",4.6000,
"Nebraska (50)",2.7000,
"Nevada (20)",5.0000,
"New Hampshire (41)",3.9000,
"New Jersey (6)",6.2000,
"New Mexico (4)",7.1000,
"New York (9)",6.0000,
"North Carolina (38)",4.0000,
"North Dakota (50)",2.7000,
"Ohio (20)",5.0000,
"Oklahoma (36)",4.3000,
"Oregon (12)",5.5000,
"Pennsylvania (28)",4.7000,
"Rhode Island (26)",4.9000,
"South Carolina (7)",6.1000,
"South Dakota (49)",2.9000,
"Tennessee (18)",5.1000,
"Texas (12)",5.5000,
"Utah (48)",3.0000,
"Vermont (32)",4.5000,
"Virginia (38)",4.0000,
"Washington (11)",5.8000,
"West Virginia (3)",7.2000,
"Wisconsin (47)",3.1000,
"Wyoming (30)",4.6000,

"Unemployment Rate (State) (1996)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""State and Metropolitan Area Employment and Unemployment"" (press release, January 7, 1997)"
Notes:
"1. National Percent = 5.3% of Labor Force Unemployed"
