State,PERCENT,Notes
"National Total",4.5000,1
"Median Value",4.3000,
"Alabama (28)",4.2000,
"Alaska (6)",5.8000,
"Arizona (32)",4.1000,
"Arkansas (11)",5.5000,
"California (5)",5.9000,
"Colorado (34)",3.8000,
"Connecticut (40)",3.4000,
"Delaware (34)",3.8000,
"District of Columbia (1)",8.8000,
"Florida (25)",4.3000,
"Georgia (28)",4.2000,
"Hawaii (3)",6.2000,
"Idaho (13)",5.0000,
"Illinois (22)",4.5000,
"Indiana (45)",3.1000,
"Iowa (49)",2.8000,
"Kansas (34)",3.8000,
"Kentucky (18)",4.6000,
"Louisiana (7)",5.7000,
"Maine (24)",4.4000,
"Maryland (18)",4.6000,
"Massachusetts (43)",3.3000,
"Michigan (33)",3.9000,
"Minnesota (51)",2.5000,
"Mississippi (12)",5.4000,
"Missouri (28)",4.2000,
"Montana (8)",5.6000,
"Nebraska (50)",2.7000,
"Nevada (25)",4.3000,
"New Hampshire (46)",2.9000,
"New Jersey (18)",4.6000,
"New Mexico (3)",6.2000,
"New York (8)",5.6000,
"North Carolina (39)",3.5000,
"North Dakota (44)",3.2000,
"Ohio (25)",4.3000,
"Oklahoma (22)",4.5000,
"Oregon (8)",5.6000,
"Pennsylvania (18)",4.6000,
"Rhode Island (14)",4.9000,
"South Carolina (34)",3.8000,
"South Dakota (46)",2.9000,
"Tennessee (28)",4.2000,
"Texas (15)",4.8000,
"Utah (34)",3.8000,
"Vermont (40)",3.4000,
"Virginia (46)",2.9000,
"Washington (15)",4.8000,
"West Virginia (2)",6.6000,
"Wisconsin (40)",3.4000,
"Wyoming (15)",4.8000,

"Unemployment Rate (State) (1998)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""State and Regional Unemployment, 1998 Annual Averages"" (press release, February 26, 1999)"
Notes:
"1. National Percent = 4.5% of Labor Force Unemployed"
