State,PERCENT,Notes
"National Total",5.6000,1
"Median Value",5.1000,
"Alabama (17)",5.6000,
"Alaska (2)",7.9000,
"Arizona (35)",4.4000,
"Arkansas (34)",4.5000,
"California (3)",7.7000,
"Colorado (41)",3.9000,
"Connecticut (23)",5.1000,
"Delaware (32)",4.7000,
"District of Columbia (1)",8.6000,
"Florida (11)",6.2000,
"Georgia (33)",4.6000,
"Hawaii (18)",5.5000,
"Idaho (19)",5.4000,
"Illinois (15)",5.7000,
"Indiana (38)",4.2000,
"Iowa (46)",3.3000,
"Kansas (42)",3.7000,
"Kentucky (29)",4.9000,
"Louisiana (6)",6.5000,
"Maine (23)",5.1000,
"Maryland (31)",4.8000,
"Massachusetts (22)",5.2000,
"Michigan (21)",5.3000,
"Minnesota (45)",3.4000,
"Mississippi (13)",5.8000,
"Missouri (44)",3.6000,
"Montana (15)",5.7000,
"Nebraska (51)",2.6000,
"Nevada (28)",5.0000,
"New Hampshire (47)",3.2000,
"New Jersey (5)",7.3000,
"New Mexico (11)",6.2000,
"New York (7)",6.4000,
"North Carolina (23)",5.1000,
"North Dakota (48)",2.9000,
"Ohio (23)",5.1000,
"Oklahoma (35)",4.4000,
"Oregon (29)",4.9000,
"Pennsylvania (10)",6.3000,
"Rhode Island (7)",6.4000,
"South Carolina (19)",5.4000,
"South Dakota (48)",2.9000,
"Tennessee (23)",5.1000,
"Texas (7)",6.4000,
"Utah (50)",2.8000,
"Vermont (39)",4.1000,
"Virginia (37)",4.3000,
"Washington (13)",5.8000,
"West Virginia (4)",7.6000,
"Wisconsin (42)",3.7000,
"Wyoming (40)",4.0000,

"Unemployment Rate (State) (1995)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""State and Metropolitan Area Employment and Unemployment"" (press release, February 8, 1996)"
Notes:
"1. National Percent = 5.6% of Labor Force Unemployed"
