State,PERCENT,Notes
"National Total",6.7000,1
"Median Value",6.2000,
"Alabama (31)",6.1000,
"Alaska (24)",6.4000,
"Arizona (10)",7.6000,
"Arkansas (11)",7.4000,
"California (5)",8.3000,
"Colorado (26)",6.2000,
"Connecticut (11)",7.4000,
"Delaware (26)",6.2000,
"District of Columbia (6)",8.1000,
"Florida (26)",6.2000,
"Georgia (11)",7.4000,
"Hawaii (44)",4.5000,
"Idaho (36)",5.7000,
"Illinois (3)",8.6000,
"Indiana (19)",6.9000,
"Iowa (46)",4.2000,
"Kansas (42)",4.9000,
"Kentucky (7)",8.0000,
"Louisiana (36)",5.7000,
"Maine (26)",6.2000,
"Maryland (31)",6.1000,
"Massachusetts (17)",7.0000,
"Michigan (4)",8.4000,
"Minnesota (43)",4.6000,
"Mississippi (7)",8.0000,
"Missouri (34)",5.9000,
"Montana (39)",5.2000,
"Nebraska (49)",3.6000,
"Nevada (2)",8.8000,
"New Hampshire (41)",5.1000,
"New Jersey (14)",7.3000,
"New Mexico (24)",6.4000,
"New York (16)",7.1000,
"North Carolina (19)",6.9000,
"North Dakota (51)",2.6000,
"Ohio (15)",7.2000,
"Oklahoma (38)",5.4000,
"Oregon (17)",7.0000,
"Pennsylvania (19)",6.9000,
"Rhode Island (1)",9.1000,
"South Carolina (22)",6.6000,
"South Dakota (49)",3.6000,
"Tennessee (9)",7.8000,
"Texas (33)",6.0000,
"Utah (48)",4.1000,
"Vermont (46)",4.2000,
"Virginia (39)",5.2000,
"Washington (22)",6.6000,
"West Virginia (34)",5.9000,
"Wisconsin (26)",6.2000,
"Wyoming (45)",4.4000,

"Unemployment Rate (State) (2013)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics,""Regional and State Employment and Unemployment"" (press release, January 28, 2014, www.bls.gov/bls/newsrels.htm)"
Notes:
"1. National Rate = 6.7% of Labor Force Unemployed"
