State,PERCENT,Notes
"National Total",5.8000,1
"Median Value",5.5000,
"Alabama (17)",5.9000,
"Alaska (1)",7.7000,
"Arizona (10)",6.2000,
"Arkansas (28)",5.4000,
"California (5)",6.7000,
"Colorado (20)",5.7000,
"Connecticut (42)",4.3000,
"Delaware (43)",4.2000,
"District of Columbia (8)",6.4000,
"Florida (24)",5.5000,
"Georgia (31)",5.1000,
"Hawaii (43)",4.2000,
"Idaho (18)",5.8000,
"Illinois (7)",6.5000,
"Indiana (31)",5.1000,
"Iowa (47)",4.0000,
"Kansas (31)",5.1000,
"Kentucky (23)",5.6000,
"Louisiana (12)",6.1000,
"Maine (39)",4.4000,
"Maryland (39)",4.4000,
"Massachusetts (30)",5.3000,
"Michigan (10)",6.2000,
"Minnesota (39)",4.4000,
"Mississippi (4)",6.8000,
"Missouri (24)",5.5000,
"Montana (37)",4.6000,
"Nebraska (50)",3.6000,
"Nevada (24)",5.5000,
"New Hampshire (36)",4.7000,
"New Jersey (18)",5.8000,
"New Mexico (28)",5.4000,
"New York (12)",6.1000,
"North Carolina (5)",6.7000,
"North Dakota (47)",4.0000,
"Ohio (20)",5.7000,
"Oklahoma (38)",4.5000,
"Oregon (2)",7.5000,
"Pennsylvania (20)",5.7000,
"Rhode Island (31)",5.1000,
"South Carolina (16)",6.0000,
"South Dakota (51)",3.1000,
"Tennessee (31)",5.1000,
"Texas (9)",6.3000,
"Utah (12)",6.1000,
"Vermont (49)",3.7000,
"Virginia (46)",4.1000,
"Washington (3)",7.3000,
"West Virginia (12)",6.1000,
"Wisconsin (24)",5.5000,
"Wyoming (43)",4.2000,

"Unemployment Rate (State) (2002)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""State and Regional Unemployment, 2002 Annual Averages"" (press release, February 28, 2003)"
Notes:
"1. National Rate = 5.8% of Labor Force Unemployed"
