State,PERCENT,Notes
"National Total",3.8999,1
"Median Value",3.7000,
"Alabama (20)",3.8999,
"Alaska (1)",6.2999,
"Arizona (5)",4.7999,
"Arkansas (27)",3.6000,
"California (13)",4.2000,
"Colorado (32)",3.5000,
"Connecticut (17)",4.0000,
"Delaware (24)",3.7000,
"District of Columbia (2)",5.5000,
"Florida (34)",3.2999,
"Georgia (27)",3.6000,
"Hawaii (49)",2.5000,
"Idaho (48)",2.6000,
"Illinois (11)",4.2999,
"Indiana (27)",3.6000,
"Iowa (51)",2.3999,
"Kansas (34)",3.2999,
"Kentucky (9)",4.4000,
"Louisiana (4)",4.9000,
"Maine (33)",3.3999,
"Maryland (20)",3.8999,
"Massachusetts (34)",3.2999,
"Michigan (17)",4.0000,
"Minnesota (43)",2.7999,
"Mississippi (6)",4.7000,
"Missouri (40)",3.1000,
"Montana (24)",3.7000,
"Nebraska (43)",2.7999,
"Nevada (9)",4.4000,
"New Hampshire (49)",2.5000,
"New Jersey (17)",4.0000,
"New Mexico (6)",4.7000,
"New York (20)",3.8999,
"North Carolina (27)",3.6000,
"North Dakota (46)",2.7000,
"Ohio (8)",4.5999,
"Oklahoma (38)",3.2000,
"Oregon (15)",4.0999,
"Pennsylvania (13)",4.2000,
"Rhode Island (20)",3.8999,
"South Carolina (34)",3.2999,
"South Dakota (42)",2.8999,
"Tennessee (27)",3.6000,
"Texas (24)",3.7000,
"Utah (38)",3.2000,
"Vermont (46)",2.7000,
"Virginia (43)",2.7999,
"Washington (11)",4.2999,
"West Virginia (3)",5.0999,
"Wisconsin (41)",3.0000,
"Wyoming (15)",4.0999,

"Unemployment Rate (State) (2018)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""State Employment and Unemployment"" (press release, January 18, 2019, www.bls.gov/bls/newsrels.htm)"
Notes:
"1. National Rate"
