State,PERCENT,Notes
"National Total",4.9000,1
"Median Value",4.8000,
"Alabama (20)",5.1000,
"Alaska (1)",7.9000,
"Arizona (28)",4.6000,
"Arkansas (16)",5.3000,
"California (6)",6.3000,
"Colorado (44)",3.3000,
"Connecticut (20)",5.1000,
"Delaware (36)",4.0000,
"District of Columbia (1)",7.9000,
"Florida (25)",4.8000,
"Georgia (30)",4.5000,
"Hawaii (4)",6.4000,
"Idaho (16)",5.3000,
"Illinois (27)",4.7000,
"Indiana (43)",3.5000,
"Iowa (44)",3.3000,
"Kansas (40)",3.8000,
"Kentucky (11)",5.4000,
"Louisiana (8)",6.1000,
"Maine (11)",5.4000,
"Maryland (20)",5.1000,
"Massachusetts (36)",4.0000,
"Michigan (32)",4.2000,
"Minnesota (44)",3.3000,
"Mississippi (10)",5.7000,
"Missouri (32)",4.2000,
"Montana (11)",5.4000,
"Nebraska (50)",2.6000,
"Nevada (34)",4.1000,
"New Hampshire (47)",3.1000,
"New Jersey (20)",5.1000,
"New Mexico (7)",6.2000,
"New York (4)",6.4000,
"North Carolina (42)",3.6000,
"North Dakota (51)",2.5000,
"Ohio (28)",4.6000,
"Oklahoma (34)",4.1000,
"Oregon (9)",5.8000,
"Pennsylvania (19)",5.2000,
"Rhode Island (16)",5.3000,
"South Carolina (30)",4.5000,
"South Dakota (47)",3.1000,
"Tennessee (11)",5.4000,
"Texas (11)",5.4000,
"Utah (47)",3.1000,
"Vermont (36)",4.0000,
"Virginia (36)",4.0000,
"Washington (25)",4.8000,
"West Virginia (3)",6.9000,
"Wisconsin (41)",3.7000,
"Wyoming (20)",5.1000,

"Unemployment Rate (State) (1997)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""State and Regional Unemployment, 1997 Annual Averages"" (press release, February 27, 1998)"
Notes:
"1. National Percent = 4.9% of Labor Force Unemployed"
