State,PERCENT,Notes
"National Total",10.0000,1
"Median Value",9.0000,
"Alabama (10)",11.0000,
"Alaska (29)",8.8000,
"Arizona (22)",9.1000,
"Arkansas (34)",7.7000,
"California (5)",12.4000,
"Colorado (35)",7.5000,
"Connecticut (27)",8.9000,
"Delaware (25)",9.0000,
"District of Columbia (6)",12.1000,
"Florida (7)",11.8000,
"Georgia (16)",10.3000,
"Hawaii (41)",6.9000,
"Idaho (22)",9.1000,
"Illinois (9)",11.1000,
"Indiana (18)",9.9000,
"Iowa (46)",6.6000,
"Kansas (46)",6.6000,
"Kentucky (14)",10.7000,
"Louisiana (35)",7.5000,
"Maine (31)",8.3000,
"Maryland (35)",7.5000,
"Massachusetts (21)",9.4000,
"Michigan (1)",14.6000,
"Minnesota (39)",7.4000,
"Mississippi (15)",10.6000,
"Missouri (19)",9.6000,
"Montana (44)",6.7000,
"Nebraska (49)",4.7000,
"Nevada (2)",13.0000,
"New Hampshire (40)",7.0000,
"New Jersey (17)",10.1000,
"New Mexico (31)",8.3000,
"New York (25)",9.0000,
"North Carolina (8)",11.2000,
"North Dakota (51)",4.4000,
"Ohio (12)",10.9000,
"Oklahoma (46)",6.6000,
"Oregon (10)",11.0000,
"Pennsylvania (27)",8.9000,
"Rhode Island (3)",12.9000,
"South Carolina (4)",12.6000,
"South Dakota (49)",4.7000,
"Tennessee (12)",10.9000,
"Texas (31)",8.3000,
"Utah (44)",6.7000,
"Vermont (41)",6.9000,
"Virginia (41)",6.9000,
"Washington (20)",9.5000,
"West Virginia (22)",9.1000,
"Wisconsin (30)",8.7000,
"Wyoming (35)",7.5000,

"Unemployment Rate (State) (2009)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 22, 2010, www.bls.gov/bls/newsrels.htm)"
Notes:
"1. National Rate = 10.0% of Labor Force Unemployed"
