State,PERCENT,Notes
"National Total",5.6000,1
"Median Value",5.5000,
"Alabama (22)",5.7000,
"Alaska (13)",6.3000,
"Arizona (7)",6.7000,
"Arkansas (22)",5.7000,
"California (3)",7.0000,
"Colorado (43)",4.0000,
"Connecticut (12)",6.4000,
"Delaware (30)",5.4000,
"District of Columbia (1)",7.3000,
"Florida (25)",5.6000,
"Georgia (4)",6.9000,
"Hawaii (43)",4.0000,
"Idaho (46)",3.7000,
"Illinois (16)",6.2000,
"Indiana (20)",5.8000,
"Iowa (42)",4.1000,
"Kansas (37)",4.2000,
"Kentucky (22)",5.7000,
"Louisiana (7)",6.7000,
"Maine (26)",5.5000,
"Maryland (26)",5.5000,
"Massachusetts (26)",5.5000,
"Michigan (13)",6.3000,
"Minnesota (47)",3.6000,
"Mississippi (2)",7.2000,
"Missouri (30)",5.4000,
"Montana (37)",4.2000,
"Nebraska (50)",2.9000,
"Nevada (5)",6.8000,
"New Hampshire (43)",4.0000,
"New Jersey (16)",6.2000,
"New Mexico (18)",6.1000,
"New York (20)",5.8000,
"North Carolina (26)",5.5000,
"North Dakota (51)",2.8000,
"Ohio (33)",4.8000,
"Oklahoma (37)",4.2000,
"Oregon (7)",6.7000,
"Pennsylvania (33)",4.8000,
"Rhode Island (5)",6.8000,
"South Carolina (11)",6.5000,
"South Dakota (49)",3.3000,
"Tennessee (10)",6.6000,
"Texas (36)",4.6000,
"Utah (48)",3.5000,
"Vermont (37)",4.2000,
"Virginia (33)",4.8000,
"Washington (13)",6.3000,
"West Virginia (19)",6.0000,
"Wisconsin (32)",5.2000,
"Wyoming (37)",4.2000,

"Unemployment Rate (State) (2014)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 27, 2015, www.bls.gov/bls/newsrels.htm)"
Notes:
"1. National Rate = 5.6% of Labor Force Unemployed"
