State,PERCENT,Notes
"National Total",4.8000,1
"Median Value",4.6000,
"Alabama (11)",5.3000,
"Alaska (3)",6.3000,
"Arizona (22)",4.7000,
"Arkansas (15)",5.1000,
"California (11)",5.3000,
"Colorado (40)",3.7000,
"Connecticut (47)",3.3000,
"Delaware (44)",3.5000,
"District of Columbia (1)",6.5000,
"Florida (20)",4.8000,
"Georgia (36)",4.0000,
"Hawaii (26)",4.6000,
"Idaho (16)",5.0000,
"Illinois (9)",5.4000,
"Indiana (30)",4.4000,
"Iowa (47)",3.3000,
"Kansas (32)",4.3000,
"Kentucky (6)",5.5000,
"Louisiana (5)",6.0000,
"Maine (36)",4.0000,
"Maryland (35)",4.1000,
"Massachusetts (40)",3.7000,
"Michigan (11)",5.3000,
"Minnesota (40)",3.7000,
"Mississippi (6)",5.5000,
"Missouri (22)",4.7000,
"Montana (26)",4.6000,
"Nebraska (50)",3.1000,
"Nevada (11)",5.3000,
"New Hampshire (44)",3.5000,
"New Jersey (34)",4.2000,
"New Mexico (20)",4.8000,
"New York (17)",4.9000,
"North Carolina (6)",5.5000,
"North Dakota (51)",2.8000,
"Ohio (32)",4.3000,
"Oklahoma (39)",3.8000,
"Oregon (3)",6.3000,
"Pennsylvania (22)",4.7000,
"Rhode Island (22)",4.7000,
"South Carolina (9)",5.4000,
"South Dakota (47)",3.3000,
"Tennessee (29)",4.5000,
"Texas (17)",4.9000,
"Utah (30)",4.4000,
"Vermont (43)",3.6000,
"Virginia (44)",3.5000,
"Washington (2)",6.4000,
"West Virginia (17)",4.9000,
"Wisconsin (26)",4.6000,
"Wyoming (38)",3.9000,

"Unemployment Rate (State) (2001)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""State and Regional Unemployment, 2001 Annual Averages"" (press release, February 22, 2002)"
Notes:
"1. National Rate = 4.8% of Labor Force Unemployed"
