State,PERCENT,Notes
"National Total",5.4000,1
"Median Value",4.6000,
"Alabama (16)",5.4000,
"Alaska (2)",7.3000,
"Arizona (36)",4.2000,
"Arkansas (12)",5.6000,
"California (8)",5.8000,
"Colorado (21)",5.1000,
"Connecticut (35)",4.3000,
"Delaware (39)",4.1000,
"District of Columbia (1)",9.0000,
"Florida (30)",4.5000,
"Georgia (32)",4.4000,
"Hawaii (51)",3.0000,
"Idaho (40)",4.0000,
"Illinois (8)",5.8000,
"Indiana (21)",5.1000,
"Iowa (24)",4.7000,
"Kansas (26)",4.6000,
"Kentucky (30)",4.5000,
"Louisiana (12)",5.6000,
"Maine (24)",4.7000,
"Maryland (40)",4.0000,
"Massachusetts (26)",4.6000,
"Michigan (2)",7.3000,
"Minnesota (32)",4.4000,
"Mississippi (6)",6.4000,
"Missouri (15)",5.5000,
"Montana (43)",3.7000,
"Nebraska (44)",3.6000,
"Nevada (42)",3.8000,
"New Hampshire (46)",3.3000,
"New Jersey (36)",4.2000,
"New Mexico (18)",5.2000,
"New York (17)",5.3000,
"North Carolina (18)",5.2000,
"North Dakota (50)",3.2000,
"Ohio (7)",5.9000,
"Oklahoma (36)",4.2000,
"Oregon (4)",6.8000,
"Pennsylvania (12)",5.6000,
"Rhode Island (26)",4.6000,
"South Carolina (5)",6.7000,
"South Dakota (46)",3.3000,
"Tennessee (18)",5.2000,
"Texas (8)",5.8000,
"Utah (32)",4.4000,
"Vermont (45)",3.4000,
"Virginia (46)",3.3000,
"Washington (8)",5.8000,
"West Virginia (23)",4.9000,
"Wisconsin (26)",4.6000,
"Wyoming (46)",3.3000,

"Unemployment Rate (State) (2004)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 25, 2005)"
Notes:
"1. National Rate = 5.4% of Labor Force Unemployed"
