State,PERCENT,Notes
"National Total",3.5000,1
"Median Value",3.5000,
"Alabama (42)",2.7000,
"Alaska (1)",6.0999,
"Arizona (7)",4.5999,
"Arkansas (22)",3.6000,
"California (13)",3.8999,
"Colorado (47)",2.5000,
"Connecticut (17)",3.7000,
"Delaware (13)",3.8999,
"District of Columbia (3)",5.2999,
"Florida (38)",3.0000,
"Georgia (33)",3.2000,
"Hawaii (44)",2.6000,
"Idaho (39)",2.8999,
"Illinois (17)",3.7000,
"Indiana (33)",3.2000,
"Iowa (42)",2.7000,
"Kansas (33)",3.2000,
"Kentucky (9)",4.2999,
"Louisiana (5)",4.9000,
"Maine (39)",2.8999,
"Maryland (23)",3.5000,
"Massachusetts (41)",2.7999,
"Michigan (13)",3.8999,
"Minnesota (30)",3.2999,
"Mississippi (2)",5.7000,
"Missouri (30)",3.2999,
"Montana (27)",3.3999,
"Nebraska (37)",3.1000,
"Nevada (16)",3.7999,
"New Hampshire (44)",2.6000,
"New Jersey (23)",3.5000,
"New Mexico (6)",4.7000,
"New York (12)",4.0000,
"North Carolina (17)",3.7000,
"North Dakota (48)",2.3999,
"Ohio (11)",4.2000,
"Oklahoma (27)",3.3999,
"Oregon (17)",3.7000,
"Pennsylvania (8)",4.5000,
"Rhode Island (23)",3.5000,
"South Carolina (49)",2.2999,
"South Dakota (33)",3.2000,
"Tennessee (30)",3.2999,
"Texas (23)",3.5000,
"Utah (49)",2.2999,
"Vermont (49)",2.2999,
"Virginia (44)",2.6000,
"Washington (9)",4.2999,
"West Virginia (4)",5.0000,
"Wisconsin (27)",3.3999,
"Wyoming (17)",3.7000,

"Unemployment Rate (State) (2019)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""State Employment and Unemployment"" (press release, January 24, 2020, www.bls.gov/bls/newsrels.htm)"
Notes:
"1. National Rate"
