State,PERCENT,Notes
"National Total",4.9000,1
"Median Value",4.8000,
"Alabama (44)",3.5000,
"Alaska (3)",6.9000,
"Arizona (30)",4.6000,
"Arkansas (32)",4.5000,
"California (16)",5.1000,
"Colorado (30)",4.6000,
"Connecticut (24)",4.8000,
"Delaware (34)",4.4000,
"District of Columbia (7)",6.0000,
"Florida (47)",3.3000,
"Georgia (14)",5.2000,
"Hawaii (51)",2.7000,
"Idaho (46)",3.4000,
"Illinois (10)",5.5000,
"Indiana (10)",5.5000,
"Iowa (32)",4.5000,
"Kansas (20)",4.9000,
"Kentucky (6)",6.3000,
"Louisiana (5)",6.4000,
"Maine (24)",4.8000,
"Maryland (37)",3.9000,
"Massachusetts (20)",4.9000,
"Michigan (4)",6.7000,
"Minnesota (35)",4.1000,
"Mississippi (1)",9.9000,
"Missouri (16)",5.1000,
"Montana (41)",3.7000,
"Nebraska (41)",3.7000,
"Nevada (39)",3.8000,
"New Hampshire (44)",3.5000,
"New Jersey (28)",4.7000,
"New Mexico (24)",4.8000,
"New York (16)",5.1000,
"North Carolina (20)",4.9000,
"North Dakota (47)",3.3000,
"Ohio (8)",5.9000,
"Oklahoma (35)",4.1000,
"Oregon (9)",5.7000,
"Pennsylvania (20)",4.9000,
"Rhode Island (14)",5.2000,
"South Carolina (2)",7.0000,
"South Dakota (37)",3.9000,
"Tennessee (12)",5.4000,
"Texas (16)",5.1000,
"Utah (39)",3.8000,
"Vermont (43)",3.6000,
"Virginia (47)",3.3000,
"Washington (13)",5.3000,
"West Virginia (28)",4.7000,
"Wisconsin (24)",4.8000,
"Wyoming (50)",3.2000,

"Unemployment Rate (State) (2005)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 24, 2006)"
Notes:
"1. National Rate = 4.9% of Labor Force Unemployed"
