State,PERCENT,Notes
"National Total",4.0000,1
"Median Value",3.9000,
"Alabama (12)",4.6000,
"Alaska (1)",6.6000,
"Arizona (24)",3.9000,
"Arkansas (14)",4.4000,
"California (7)",4.9000,
"Colorado (46)",2.7000,
"Connecticut (49)",2.3000,
"Delaware (23)",4.0000,
"District of Columbia (2)",5.8000,
"Florida (32)",3.6000,
"Georgia (30)",3.7000,
"Hawaii (16)",4.3000,
"Idaho (7)",4.9000,
"Illinois (14)",4.4000,
"Indiana (39)",3.2000,
"Iowa (47)",2.6000,
"Kansas (30)",3.7000,
"Kentucky (19)",4.1000,
"Louisiana (4)",5.5000,
"Maine (35)",3.5000,
"Maryland (24)",3.9000,
"Massachusetts (47)",2.6000,
"Michigan (32)",3.6000,
"Minnesota (38)",3.3000,
"Mississippi (3)",5.7000,
"Missouri (35)",3.5000,
"Montana (7)",4.9000,
"Nebraska (41)",3.0000,
"Nevada (19)",4.1000,
"New Hampshire (45)",2.8000,
"New Jersey (29)",3.8000,
"New Mexico (7)",4.9000,
"New York (12)",4.6000,
"North Carolina (32)",3.6000,
"North Dakota (41)",3.0000,
"Ohio (19)",4.1000,
"Oklahoma (41)",3.0000,
"Oregon (7)",4.9000,
"Pennsylvania (17)",4.2000,
"Rhode Island (19)",4.1000,
"South Carolina (24)",3.9000,
"South Dakota (49)",2.3000,
"Tennessee (24)",3.9000,
"Texas (17)",4.2000,
"Utah (39)",3.2000,
"Vermont (44)",2.9000,
"Virginia (51)",2.2000,
"Washington (6)",5.2000,
"West Virginia (4)",5.5000,
"Wisconsin (35)",3.5000,
"Wyoming (24)",3.9000,

"Unemployment Rate (State) (2000)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""State and Regional Unemployment, 2000 Annual Averages"" (press release, February 23, 2001)"
Notes:
"1. National Rate = 4.0% of Labor Force Unemployed"
