State,PERCENT,Notes
"National Total",4.2000,1
"Median Value",4.1000,
"Alabama (14)",4.8000,
"Alaska (2)",6.4000,
"Arizona (21)",4.4000,
"Arkansas (18)",4.5000,
"California (7)",5.2000,
"Colorado (45)",2.9000,
"Connecticut (38)",3.2000,
"Delaware (33)",3.5000,
"District of Columbia (3)",6.3000,
"Florida (30)",3.9000,
"Georgia (28)",4.0000,
"Hawaii (5)",5.6000,
"Idaho (7)",5.2000,
"Illinois (24)",4.3000,
"Indiana (41)",3.0000,
"Iowa (51)",2.5000,
"Kansas (41)",3.0000,
"Kentucky (18)",4.5000,
"Louisiana (11)",5.1000,
"Maine (26)",4.1000,
"Maryland (33)",3.5000,
"Massachusetts (38)",3.2000,
"Michigan (31)",3.8000,
"Minnesota (48)",2.8000,
"Mississippi (11)",5.1000,
"Missouri (35)",3.4000,
"Montana (7)",5.2000,
"Nebraska (45)",2.9000,
"Nevada (21)",4.4000,
"New Hampshire (50)",2.7000,
"New Jersey (16)",4.6000,
"New Mexico (5)",5.6000,
"New York (7)",5.2000,
"North Carolina (38)",3.2000,
"North Dakota (35)",3.4000,
"Ohio (24)",4.3000,
"Oklahoma (35)",3.4000,
"Oregon (4)",5.7000,
"Pennsylvania (21)",4.4000,
"Rhode Island (26)",4.1000,
"South Carolina (18)",4.5000,
"South Dakota (45)",2.9000,
"Tennessee (28)",4.0000,
"Texas (16)",4.6000,
"Utah (32)",3.7000,
"Vermont (41)",3.0000,
"Virginia (48)",2.8000,
"Washington (15)",4.7000,
"West Virginia (1)",6.6000,
"Wisconsin (41)",3.0000,
"Wyoming (13)",4.9000,

"Unemployment Rate (State) (1999)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""State and Regional Unemployment, 1999 Annual Averages"" (press release, February 25, 2000)"
Notes:
"1. National Percent = 4.2% of Labor Force Unemployed"
