State,PERCENT,Notes
"National Total",7.8000,1
"Median Value",7.1000,
"Alabama (25)",7.1000,
"Alaska (31)",6.6000,
"Arizona (18)",7.9000,
"Arkansas (25)",7.1000,
"California (3)",9.8000,
"Colorado (20)",7.6000,
"Connecticut (8)",8.6000,
"Delaware (27)",6.9000,
"District of Columbia (11)",8.5000,
"Florida (17)",8.0000,
"Georgia (8)",8.6000,
"Hawaii (43)",5.2000,
"Idaho (31)",6.6000,
"Illinois (7)",8.7000,
"Indiana (14)",8.2000,
"Iowa (47)",4.9000,
"Kansas (42)",5.4000,
"Kentucky (16)",8.1000,
"Louisiana (39)",5.5000,
"Maine (24)",7.3000,
"Maryland (31)",6.6000,
"Massachusetts (28)",6.7000,
"Michigan (6)",8.9000,
"Minnesota (39)",5.5000,
"Mississippi (8)",8.6000,
"Missouri (28)",6.7000,
"Montana (37)",5.7000,
"Nebraska (50)",3.7000,
"Nevada (1)",10.2000,
"New Hampshire (37)",5.7000,
"New Jersey (4)",9.6000,
"New Mexico (35)",6.4000,
"New York (14)",8.2000,
"North Carolina (5)",9.2000,
"North Dakota (51)",3.2000,
"Ohio (28)",6.7000,
"Oklahoma (45)",5.1000,
"Oregon (12)",8.4000,
"Pennsylvania (18)",7.9000,
"Rhode Island (1)",10.2000,
"South Carolina (12)",8.4000,
"South Dakota (49)",4.4000,
"Tennessee (20)",7.6000,
"Texas (36)",6.1000,
"Utah (43)",5.2000,
"Vermont (45)",5.1000,
"Virginia (39)",5.5000,
"Washington (20)",7.6000,
"West Virginia (23)",7.5000,
"Wisconsin (31)",6.6000,
"Wyoming (47)",4.9000,

"Unemployment Rate (State) (2012)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 18, 2013, www.bls.gov/bls/newsrels.htm)"
Notes:
"1. National Rate = 7.8% of Labor Force Unemployed"
