State,PERCENT,Notes
"National Total",5.7000,1
"Median Value",5.0000,
"Alabama (13)",5.8000,
"Alaska (1)",7.7000,
"Arizona (32)",4.8000,
"Arkansas (19)",5.5000,
"California (6)",6.4000,
"Colorado (13)",5.8000,
"Connecticut (26)",5.0000,
"Delaware (42)",4.1000,
"District of Columbia (5)",6.6000,
"Florida (35)",4.7000,
"Georgia (42)",4.1000,
"Hawaii (42)",4.1000,
"Idaho (32)",4.8000,
"Illinois (6)",6.4000,
"Indiana (26)",5.0000,
"Iowa (39)",4.4000,
"Kansas (32)",4.8000,
"Kentucky (20)",5.4000,
"Louisiana (13)",5.8000,
"Maine (26)",5.0000,
"Maryland (39)",4.4000,
"Massachusetts (16)",5.7000,
"Michigan (2)",7.2000,
"Minnesota (35)",4.7000,
"Mississippi (26)",5.0000,
"Missouri (26)",5.0000,
"Montana (38)",4.5000,
"Nebraska (48)",3.7000,
"Nevada (39)",4.4000,
"New Hampshire (42)",4.1000,
"New Jersey (21)",5.3000,
"New Mexico (16)",5.7000,
"New York (9)",6.2000,
"North Carolina (10)",6.1000,
"North Dakota (51)",3.2000,
"Ohio (12)",6.0000,
"Oklahoma (24)",5.1000,
"Oregon (2)",7.2000,
"Pennsylvania (24)",5.1000,
"Rhode Island (26)",5.0000,
"South Carolina (10)",6.1000,
"South Dakota (50)",3.4000,
"Tennessee (16)",5.7000,
"Texas (6)",6.4000,
"Utah (35)",4.7000,
"Vermont (46)",4.0000,
"Virginia (49)",3.6000,
"Washington (4)",6.8000,
"West Virginia (21)",5.3000,
"Wisconsin (23)",5.2000,
"Wyoming (46)",4.0000,

"Unemployment Rate (State) (2003)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 27, 2004)"
Notes:
"1. National Rate = 5.7% of Labor Force Unemployed"
