State,PERCENT,Notes
"National Total",9.4000,1
"Median Value",8.5000,
"Alabama (22)",9.1000,
"Alaska (32)",8.1000,
"Arizona (18)",9.4000,
"Arkansas (34)",7.9000,
"California (2)",12.5000,
"Colorado (25)",8.8000,
"Connecticut (24)",9.0000,
"Delaware (26)",8.5000,
"District of Columbia (12)",9.7000,
"Florida (3)",12.0000,
"Georgia (9)",10.2000,
"Hawaii (44)",6.4000,
"Idaho (15)",9.5000,
"Illinois (20)",9.3000,
"Indiana (15)",9.5000,
"Iowa (46)",6.3000,
"Kansas (41)",6.8000,
"Kentucky (8)",10.3000,
"Louisiana (33)",8.0000,
"Maine (38)",7.3000,
"Maryland (37)",7.4000,
"Massachusetts (30)",8.2000,
"Michigan (4)",11.7000,
"Minnesota (40)",7.0000,
"Mississippi (10)",10.1000,
"Missouri (15)",9.5000,
"Montana (39)",7.2000,
"Nebraska (50)",4.4000,
"Nevada (1)",14.5000,
"New Hampshire (48)",5.5000,
"New Jersey (22)",9.1000,
"New Mexico (26)",8.5000,
"New York (30)",8.2000,
"North Carolina (11)",9.8000,
"North Dakota (51)",3.8000,
"Ohio (13)",9.6000,
"Oklahoma (41)",6.8000,
"Oregon (7)",10.6000,
"Pennsylvania (26)",8.5000,
"Rhode Island (5)",11.5000,
"South Carolina (6)",10.7000,
"South Dakota (49)",4.6000,
"Tennessee (18)",9.4000,
"Texas (29)",8.3000,
"Utah (35)",7.5000,
"Vermont (47)",5.8000,
"Virginia (43)",6.7000,
"Washington (20)",9.3000,
"West Virginia (13)",9.6000,
"Wisconsin (35)",7.5000,
"Wyoming (44)",6.4000,

"Unemployment Rate (State) (2010)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 25, 2011, www.bls.gov/bls/newsrels.htm)"
Notes:
"1. National Rate = 9.4% of Labor Force Unemployed"
