State,PERCENT,Notes
"National Total",5.0000,1
"Median Value",4.7000,
"Alabama (36)",4.0000,
"Alaska (4)",6.5000,
"Arizona (25)",4.7000,
"Arkansas (8)",5.9000,
"California (5)",6.1000,
"Colorado (29)",4.5000,
"Connecticut (17)",5.0000,
"Delaware (39)",3.8000,
"District of Columbia (5)",6.1000,
"Florida (25)",4.7000,
"Georgia (23)",4.8000,
"Hawaii (46)",3.2000,
"Idaho (50)",3.0000,
"Illinois (12)",5.5000,
"Indiana (28)",4.6000,
"Iowa (36)",4.0000,
"Kansas (34)",4.4000,
"Kentucky (10)",5.7000,
"Louisiana (35)",4.2000,
"Maine (16)",5.1000,
"Maryland (39)",3.8000,
"Massachusetts (29)",4.5000,
"Michigan (1)",7.6000,
"Minnesota (20)",4.9000,
"Mississippi (2)",6.8000,
"Missouri (12)",5.5000,
"Montana (42)",3.6000,
"Nebraska (46)",3.2000,
"Nevada (9)",5.8000,
"New Hampshire (42)",3.6000,
"New Jersey (29)",4.5000,
"New Mexico (41)",3.7000,
"New York (20)",4.9000,
"North Carolina (17)",5.0000,
"North Dakota (45)",3.3000,
"Ohio (7)",6.0000,
"Oklahoma (29)",4.5000,
"Oregon (11)",5.6000,
"Pennsylvania (25)",4.7000,
"Rhode Island (12)",5.5000,
"South Carolina (3)",6.6000,
"South Dakota (50)",3.0000,
"Tennessee (15)",5.3000,
"Texas (29)",4.5000,
"Utah (46)",3.2000,
"Vermont (36)",4.0000,
"Virginia (44)",3.5000,
"Washington (23)",4.8000,
"West Virginia (20)",4.9000,
"Wisconsin (17)",5.0000,
"Wyoming (49)",3.1000,

"Unemployment Rate (State) (2007)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 18, 2008)"
Notes:
"1. National Rate = 5.0% of Labor Force Unemployed"
