State,PERCENT,Notes
"National Total",4.7000,1
"Median Value",4.5999,
"Alabama (3)",6.2000,
"Alaska (1)",6.7000,
"Arizona (22)",4.7999,
"Arkansas (38)",3.8999,
"California (11)",5.2000,
"Colorado (46)",3.0000,
"Connecticut (28)",4.4000,
"Delaware (30)",4.2999,
"District of Columbia (6)",5.7999,
"Florida (18)",4.9000,
"Georgia (10)",5.4000,
"Hawaii (48)",2.8999,
"Idaho (41)",3.7000,
"Illinois (7)",5.7000,
"Indiana (35)",4.0000,
"Iowa (42)",3.6000,
"Kansas (32)",4.2000,
"Kentucky (22)",4.7999,
"Louisiana (4)",6.0999,
"Maine (40)",3.7999,
"Maryland (32)",4.2000,
"Massachusetts (49)",2.7999,
"Michigan (15)",5.0000,
"Minnesota (38)",3.8999,
"Mississippi (8)",5.5999,
"Missouri (28)",4.4000,
"Montana (35)",4.0000,
"Nebraska (43)",3.3999,
"Nevada (13)",5.0999,
"New Hampshire (51)",2.6000,
"New Jersey (25)",4.7000,
"New Mexico (2)",6.5999,
"New York (18)",4.9000,
"North Carolina (13)",5.0999,
"North Dakota (46)",3.0000,
"Ohio (18)",4.9000,
"Oklahoma (15)",5.0000,
"Oregon (26)",4.5999,
"Pennsylvania (8)",5.5999,
"Rhode Island (15)",5.0000,
"South Carolina (30)",4.2999,
"South Dakota (49)",2.7999,
"Tennessee (18)",4.9000,
"Texas (26)",4.5999,
"Utah (44)",3.1000,
"Vermont (44)",3.1000,
"Virginia (34)",4.0999,
"Washington (11)",5.2000,
"West Virginia (5)",5.9000,
"Wisconsin (35)",4.0000,
"Wyoming (22)",4.7999,

"Unemployment Rate (State) (2016)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 24, 2017, www.bls.gov/bls/newsrels.htm)"
Notes:
"1. National Rate"
