State,PERCENT,Notes
"National Total",5.0000,1
"Median Value",4.7999,
"Alabama (7)",6.2000,
"Alaska (3)",6.5000,
"Arizona (10)",5.7999,
"Arkansas (26)",4.7999,
"California (10)",5.7999,
"Colorado (43)",3.5000,
"Connecticut (19)",5.2000,
"Delaware (24)",5.0000,
"District of Columbia (2)",6.5999,
"Florida (24)",5.0000,
"Georgia (14)",5.5000,
"Hawaii (47)",3.2000,
"Idaho (40)",3.8999,
"Illinois (9)",5.9000,
"Indiana (32)",4.4000,
"Iowa (46)",3.3999,
"Kansas (40)",3.8999,
"Kentucky (18)",5.2999,
"Louisiana (8)",6.0999,
"Maine (38)",4.0000,
"Maryland (20)",5.0999,
"Massachusetts (29)",4.7000,
"Michigan (20)",5.0999,
"Minnesota (43)",3.5000,
"Mississippi (4)",6.4000,
"Missouri (32)",4.4000,
"Montana (38)",4.0000,
"Nebraska (49)",2.8999,
"Nevada (4)",6.4000,
"New Hampshire (48)",3.1000,
"New Jersey (20)",5.0999,
"New Mexico (1)",6.7000,
"New York (26)",4.7999,
"North Carolina (12)",5.5999,
"North Dakota (51)",2.7000,
"Ohio (29)",4.7000,
"Oklahoma (37)",4.0999,
"Oregon (17)",5.4000,
"Pennsylvania (26)",4.7999,
"Rhode Island (20)",5.0999,
"South Carolina (14)",5.5000,
"South Dakota (49)",2.8999,
"Tennessee (12)",5.5999,
"Texas (29)",4.7000,
"Utah (43)",3.5000,
"Vermont (42)",3.6000,
"Virginia (36)",4.2000,
"Washington (14)",5.5000,
"West Virginia (6)",6.2999,
"Wisconsin (34)",4.2999,
"Wyoming (34)",4.2999,

"Unemployment Rate (State) (2015)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 26, 2016, www.bls.gov/bls/newsrels.htm)"
Notes:
"1. National Rate"
