State,PERCENT,Notes
"National Total",4.0999,1
"Median Value",4.0999,
"Alabama (33)",3.5000,
"Alaska (1)",7.2999,
"Arizona (16)",4.5000,
"Arkansas (30)",3.7000,
"California (22)",4.2999,
"Colorado (40)",3.1000,
"Connecticut (11)",4.5999,
"Delaware (11)",4.5999,
"District of Columbia (2)",6.0000,
"Florida (30)",3.7000,
"Georgia (19)",4.4000,
"Hawaii (51)",2.0000,
"Idaho (45)",2.8999,
"Illinois (7)",4.7999,
"Indiana (37)",3.3999,
"Iowa (46)",2.7999,
"Kansas (37)",3.3999,
"Kentucky (19)",4.4000,
"Louisiana (11)",4.5999,
"Maine (43)",3.0000,
"Maryland (28)",4.0000,
"Massachusetts (33)",3.5000,
"Michigan (8)",4.7000,
"Minnesota (40)",3.1000,
"Mississippi (11)",4.5999,
"Missouri (33)",3.5000,
"Montana (24)",4.0999,
"Nebraska (48)",2.7000,
"Nevada (5)",5.0000,
"New Hampshire (49)",2.6000,
"New Jersey (5)",5.0000,
"New Mexico (2)",6.0000,
"New York (11)",4.5999,
"North Carolina (16)",4.5000,
"North Dakota (49)",2.6000,
"Ohio (8)",4.7000,
"Oklahoma (24)",4.0999,
"Oregon (24)",4.0999,
"Pennsylvania (8)",4.7000,
"Rhode Island (19)",4.4000,
"South Carolina (24)",4.0999,
"South Dakota (33)",3.5000,
"Tennessee (39)",3.2000,
"Texas (29)",3.8999,
"Utah (40)",3.1000,
"Vermont (46)",2.7999,
"Virginia (30)",3.7000,
"Washington (16)",4.5000,
"West Virginia (4)",5.5000,
"Wisconsin (43)",3.0000,
"Wyoming (23)",4.2000,

"Unemployment Rate (State) (2017)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""State Employment and Unemployment"" (press release, January 23, 2018, (www.bls.gov/bls/newsrels.htm)"
Notes:
"1. National Rate"
